# power spectrum of delta
# redshift z=1.608200
# k              Pk             sigma(k)       sigma(Pk)      count
  3.296984e-02   6.256366e-03   5.044698e-03   6.467824e-04   18
  5.763401e-02   2.274293e-02   6.101518e-03   1.059517e-03   62
  8.021500e-02   4.722572e-02   4.220981e-03   1.524419e-03   90
  1.015929e-01   6.231862e-02   6.661592e-03   1.583033e-03   170
  1.238408e-01   8.215652e-02   6.924022e-03   2.222674e-03   246
  1.455653e-01   1.162786e-01   6.601001e-03   2.847410e-03   338
  1.670045e-01   1.373895e-01   5.675008e-03   3.418239e-03   432
  1.890860e-01   1.687359e-01   5.814033e-03   4.082341e-03   578
  2.126531e-01   1.968084e-01   6.950299e-03   4.657980e-03   810
  2.364171e-01   2.177014e-01   6.650931e-03   0.000000e+00   950
  2.584110e-01   2.586642e-01   5.937311e-03   0.000000e+00   1002
  2.804014e-01   2.930696e-01   6.790366e-03   0.000000e+00   1334
  3.026544e-01   3.336924e-01   6.359237e-03   0.000000e+00   1410
  3.238383e-01   3.569716e-01   6.353415e-03   0.000000e+00   1652
  3.459805e-01   3.834976e-01   6.270062e-03   0.000000e+00   1974
  3.687015e-01   4.176722e-01   6.145597e-03   0.000000e+00   2234
  3.914852e-01   4.743524e-01   6.465304e-03   0.000000e+00   2554
  4.146404e-01   4.753164e-01   6.766617e-03   0.000000e+00   2950
  4.373171e-01   5.182503e-01   6.333753e-03   0.000000e+00   3042
  4.593379e-01   5.379185e-01   6.459188e-03   0.000000e+00   3422
  4.812041e-01   6.006874e-01   6.233806e-03   0.000000e+00   3618
  5.032209e-01   6.337081e-01   6.489853e-03   0.000000e+00   4172
  5.256126e-01   6.892426e-01   6.278215e-03   0.000000e+00   4470
  5.481222e-01   7.280355e-01   6.415795e-03   0.000000e+00   4970
  5.707131e-01   7.773718e-01   6.445533e-03   0.000000e+00   5334
  5.933173e-01   8.104854e-01   6.620458e-03   0.000000e+00   5810
  6.156523e-01   8.720123e-01   6.578023e-03   0.000000e+00   6114
  6.381341e-01   8.919824e-01   6.702829e-03   0.000000e+00   6782
  6.600508e-01   9.618063e-01   6.114761e-03   0.000000e+00   6684
  6.817733e-01   9.789358e-01   6.320015e-03   0.000000e+00   7574
  7.042989e-01   1.041548e+00   6.383283e-03   0.000000e+00   8154
  7.267523e-01   1.079043e+00   6.350446e-03   0.000000e+00   8618
  7.495802e-01   1.141837e+00   6.655359e-03   0.000000e+00   9494
  7.721958e-01   1.197412e+00   6.420657e-03   0.000000e+00   9618
  7.945082e-01   1.248897e+00   6.522732e-03   0.000000e+00   10306
  8.169314e-01   1.305425e+00   6.582267e-03   0.000000e+00   10942
  8.392838e-01   1.368511e+00   6.426710e-03   0.000000e+00   11452
  8.616156e-01   1.396578e+00   6.314015e-03   0.000000e+00   12046
  8.837539e-01   1.449809e+00   6.203919e-03   0.000000e+00   12522
  9.061496e-01   1.529133e+00   6.484290e-03   0.000000e+00   13562
  9.287321e-01   1.612371e+00   6.598088e-03   0.000000e+00   14182
  9.513437e-01   1.658098e+00   6.662158e-03   0.000000e+00   14986
  9.735647e-01   1.738510e+00   6.336365e-03   0.000000e+00   14982
  9.957420e-01   1.770292e+00   6.586886e-03   0.000000e+00   16388
  1.018091e+00   1.877084e+00   6.328859e-03   0.000000e+00   16626
  1.040289e+00   1.911052e+00   6.420279e-03   0.000000e+00   17678
  1.062665e+00   2.005859e+00   6.320822e-03   0.000000e+00   18354
  1.084952e+00   2.049803e+00   6.374281e-03   0.000000e+00   19034
  1.107316e+00   2.115558e+00   6.533602e-03   0.000000e+00   20142
  1.130052e+00   2.190360e+00   6.683525e-03   0.000000e+00   21386
  1.152535e+00   2.303546e+00   6.399747e-03   0.000000e+00   21318
  1.174826e+00   2.378539e+00   6.466397e-03   0.000000e+00   22676
  1.197287e+00   2.415051e+00   6.400053e-03   0.000000e+00   23322
  1.219569e+00   2.471619e+00   6.320268e-03   0.000000e+00   24134
  1.241897e+00   2.609419e+00   6.431744e-03   0.000000e+00   25146
  1.264263e+00   2.650153e+00   6.401452e-03   0.000000e+00   26030
  1.286511e+00   2.729506e+00   6.436689e-03   0.000000e+00   26674
  1.309005e+00   2.875877e+00   6.617025e-03   0.000000e+00   28570
  1.331328e+00   2.900257e+00   6.394995e-03   0.000000e+00   28224
  1.353730e+00   2.976818e+00   6.612954e-03   0.000000e+00   30626
  1.376139e+00   3.043780e+00   6.188716e-03   0.000000e+00   30158
  1.398198e+00   3.181472e+00   6.341847e-03   0.000000e+00   31674
  1.420633e+00   3.225616e+00   6.552335e-03   0.000000e+00   33306
  1.442956e+00   3.328290e+00   6.347056e-03   0.000000e+00   33422
