# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.514781e+00   9.900990e-03   5.842727e+00   0.000000e+00   0.000000e+00
      1   3.561656e+00   1.012801e-02   5.775009e+00   0.000000e+00   0.000000e+00
      2   3.608531e+00   1.035752e-02   5.708882e+00   0.000000e+00   0.000000e+00
      3   3.655406e+00   1.058954e-02   5.644289e+00   0.000000e+00   0.000000e+00
      4   3.702281e+00   1.082405e-02   5.581177e+00   0.000000e+00   0.000000e+00
      5   3.749156e+00   1.106107e-02   5.519494e+00   0.000000e+00   0.000000e+00
      6   3.796031e+00   1.130058e-02   5.459191e+00   0.000000e+00   0.000000e+00
      7   3.842906e+00   1.154260e-02   5.400222e+00   0.000000e+00   0.000000e+00
      8   3.889781e+00   1.178711e-02   5.342541e+00   0.000000e+00   0.000000e+00
      9   3.936656e+00   1.203413e-02   5.286107e+00   0.000000e+00   0.000000e+00
     10   3.983531e+00   1.228364e-02   5.230878e+00   0.000000e+00   0.000000e+00
     11   4.030406e+00   1.253566e-02   5.176815e+00   0.000000e+00   0.000000e+00
     12   4.077281e+00   1.279017e-02   5.123882e+00   0.000000e+00   0.000000e+00
     13   4.124156e+00   1.304719e-02   5.072043e+00   0.000000e+00   0.000000e+00
     14   4.171031e+00   1.330670e-02   5.021262e+00   0.000000e+00   0.000000e+00
     15   4.217906e+00   1.356872e-02   4.971509e+00   0.000000e+00   0.000000e+00
     16   4.264781e+00   1.383323e-02   4.922751e+00   0.000000e+00   0.000000e+00
     17   4.311656e+00   1.410024e-02   4.874958e+00   0.000000e+00   0.000000e+00
     18   4.358531e+00   1.436976e-02   4.828102e+00   0.000000e+00   0.000000e+00
     19   4.405406e+00   1.464177e-02   4.782154e+00   0.000000e+00   0.000000e+00
     20   4.452281e+00   1.491628e-02   4.737089e+00   0.000000e+00   0.000000e+00
     21   4.499156e+00   1.519330e-02   4.692880e+00   0.000000e+00   0.000000e+00
     22   4.546031e+00   1.547281e-02   4.649503e+00   0.000000e+00   0.000000e+00
     23   4.592906e+00   1.575482e-02   4.606934e+00   0.000000e+00   0.000000e+00
     24   4.639781e+00   1.603934e-02   4.565151e+00   0.000000e+00   0.000000e+00
     25   4.686656e+00   1.632635e-02   4.524132e+00   0.000000e+00   0.000000e+00
     26   4.733531e+00   1.661586e-02   4.483855e+00   0.000000e+00   0.000000e+00
     27   4.780406e+00   1.690788e-02   4.444300e+00   0.000000e+00   0.000000e+00
     28   4.827281e+00   1.720239e-02   4.405449e+00   0.000000e+00   0.000000e+00
     29   4.874156e+00   1.749940e-02   4.367281e+00   0.000000e+00   0.000000e+00
     30   4.921031e+00   1.779891e-02   4.329780e+00   0.000000e+00   0.000000e+00
     31   4.967906e+00   1.810093e-02   4.292927e+00   0.000000e+00   0.000000e+00
     32   5.014781e+00   1.840544e-02   4.256705e+00   0.000000e+00   0.000000e+00
     33   5.061656e+00   1.871245e-02   4.221098e+00   0.000000e+00   0.000000e+00
     34   5.108531e+00   1.902196e-02   4.186091e+00   0.000000e+00   0.000000e+00
     35   5.155406e+00   1.933398e-02   4.151667e+00   0.000000e+00   0.000000e+00
     36   5.202281e+00   1.964849e-02   4.117814e+00   0.000000e+00   0.000000e+00
     37   5.249156e+00   1.996550e-02   4.084515e+00   0.000000e+00   0.000000e+00
     38   5.296031e+00   2.028501e-02   4.051759e+00   0.000000e+00   0.000000e+00
     39   5.342906e+00   2.060702e-02   4.019530e+00   0.000000e+00   0.000000e+00
     40   5.389781e+00   2.093154e-02   3.987817e+00   0.000000e+00   0.000000e+00
     41   5.436656e+00   2.125855e-02   3.956607e+00   0.000000e+00   0.000000e+00
     42   5.483531e+00   2.158806e-02   3.925888e+00   0.000000e+00   0.000000e+00
     43   5.530406e+00   2.192007e-02   3.895649e+00   0.000000e+00   0.000000e+00
     44   5.577281e+00   2.225459e-02   3.865878e+00   0.000000e+00   0.000000e+00
     45   5.624156e+00   2.259160e-02   3.836564e+00   0.000000e+00   0.000000e+00
     46   5.671031e+00   2.293111e-02   3.807696e+00   0.000000e+00   0.000000e+00
     47   5.717906e+00   2.327312e-02   3.779265e+00   0.000000e+00   0.000000e+00
     48   5.764781e+00   2.361764e-02   3.751261e+00   0.000000e+00   0.000000e+00
     49   5.811656e+00   2.396465e-02   3.723673e+00   0.000000e+00   0.000000e+00
     50   5.858531e+00   2.431416e-02   3.696493e+00   0.000000e+00   0.000000e+00
     51   5.905406e+00   2.466618e-02   3.669712e+00   0.000000e+00   0.000000e+00
     52   5.952281e+00   2.502069e-02   3.643320e+00   0.000000e+00   0.000000e+00
     53   5.999156e+00   2.537770e-02   3.617309e+00   0.000000e+00   0.000000e+00
     54   6.046031e+00   2.573722e-02   3.591671e+00   0.000000e+00   0.000000e+00
     55   6.092906e+00   2.609923e-02   3.566398e+00   0.000000e+00   0.000000e+00
     56   6.139781e+00   2.646374e-02   3.541483e+00   0.000000e+00   0.000000e+00
     57   6.186656e+00   2.683076e-02   3.516916e+00   0.000000e+00   0.000000e+00
     58   6.233531e+00   2.720027e-02   3.492692e+00   0.000000e+00   0.000000e+00
     59   6.280406e+00   2.757229e-02   3.468802e+00   0.000000e+00   0.000000e+00
     60   6.327281e+00   2.794680e-02   3.445241e+00   0.000000e+00   0.000000e+00
     61   6.374156e+00   2.832382e-02   3.422001e+00   0.000000e+00   0.000000e+00
     62   6.421031e+00   2.870333e-02   3.399075e+00   0.000000e+00   0.000000e+00
     63   6.467906e+00   2.908535e-02   3.376458e+00   0.000000e+00   0.000000e+00
     64   6.514781e+00   2.946986e-02   3.354142e+00   0.000000e+00   0.000000e+00
     65   6.561656e+00   2.985688e-02   3.332123e+00   0.000000e+00   0.000000e+00
     66   6.608531e+00   3.024640e-02   3.310393e+00   0.000000e+00   0.000000e+00
     67   6.655406e+00   3.063841e-02   3.288948e+00   0.000000e+00   0.000000e+00
     68   6.702281e+00   3.103293e-02   3.267782e+00   0.000000e+00   0.000000e+00
     69   6.749156e+00   3.142995e-02   3.246889e+00   0.000000e+00   0.000000e+00
     70   6.796031e+00   3.182947e-02   3.226264e+00   0.000000e+00   0.000000e+00
     71   6.842906e+00   3.223149e-02   3.205901e+00   0.000000e+00   0.000000e+00
     72   6.889781e+00   3.263600e-02   3.185797e+00   0.000000e+00   0.000000e+00
     73   6.936656e+00   3.304302e-02   3.165945e+00   0.000000e+00   0.000000e+00
     74   6.983531e+00   3.345255e-02   3.146342e+00   0.000000e+00   0.000000e+00
     75   7.030406e+00   3.386457e-02   3.126982e+00   0.000000e+00   0.000000e+00
     76   7.077281e+00   3.427909e-02   3.107860e+00   0.000000e+00   0.000000e+00
     77   7.124156e+00   3.469611e-02   3.088974e+00   0.000000e+00   0.000000e+00
     78   7.171031e+00   3.511563e-02   3.070317e+00   0.000000e+00   0.000000e+00
     79   7.217906e+00   3.553766e-02   3.051887e+00   0.000000e+00   0.000000e+00
     80   7.264781e+00   3.596218e-02   3.033678e+00   0.000000e+00   0.000000e+00
     81   7.311656e+00   3.638921e-02   3.015687e+00   0.000000e+00   0.000000e+00
     82   7.358531e+00   3.681873e-02   2.997910e+00   0.000000e+00   0.000000e+00
     83   7.405406e+00   3.725076e-02   2.980344e+00   0.000000e+00   0.000000e+00
     84   7.452281e+00   3.768529e-02   2.962983e+00   0.000000e+00   0.000000e+00
     85   7.499156e+00   3.812232e-02   2.945826e+00   0.000000e+00   0.000000e+00
     86   7.546031e+00   3.856185e-02   2.928868e+00   0.000000e+00   0.000000e+00
     87   7.592906e+00   3.900388e-02   2.912105e+00   0.000000e+00   0.000000e+00
     88   7.639781e+00   3.944841e-02   2.895535e+00   0.000000e+00   0.000000e+00
     89   7.686656e+00   3.989544e-02   2.879154e+00   0.000000e+00   0.000000e+00
     90   7.733531e+00   4.034498e-02   2.862958e+00   0.000000e+00   0.000000e+00
     91   7.780406e+00   4.079701e-02   2.846946e+00   0.000000e+00   0.000000e+00
     92   7.827281e+00   4.125155e-02   2.831113e+00   0.000000e+00   0.000000e+00
     93   7.874156e+00   4.170858e-02   2.815456e+00   0.000000e+00   0.000000e+00
     94   7.921031e+00   4.216812e-02   2.799973e+00   0.000000e+00   0.000000e+00
     95   7.967906e+00   4.263016e-02   2.784661e+00   0.000000e+00   0.000000e+00
     96   8.014781e+00   4.309471e-02   2.769517e+00   0.000000e+00   0.000000e+00
     97   8.061656e+00   4.356175e-02   2.754537e+00   0.000000e+00   0.000000e+00
     98   8.108531e+00   4.403129e-02   2.739721e+00   0.000000e+00   0.000000e+00
     99   8.155406e+00   4.450334e-02   2.725064e+00   0.000000e+00   0.000000e+00
    100   8.202281e+00   4.497789e-02   2.710564e+00   0.000000e+00   0.000000e+00
    101   8.249156e+00   4.545494e-02   2.696219e+00   0.000000e+00   0.000000e+00
    102   8.296031e+00   4.593449e-02   2.682026e+00   0.000000e+00   0.000000e+00
    103   8.342906e+00   4.641654e-02   2.667984e+00   0.000000e+00   0.000000e+00
    104   8.389781e+00   4.690110e-02   2.654088e+00   0.000000e+00   0.000000e+00
    105   8.436656e+00   4.738815e-02   2.640338e+00   0.000000e+00   0.000000e+00
    106   8.483531e+00   4.787771e-02   2.626730e+00   0.000000e+00   0.000000e+00
    107   8.530406e+00   4.836977e-02   2.613263e+00   0.000000e+00   0.000000e+00
    108   8.577281e+00   4.886434e-02   2.599935e+00   0.000000e+00   0.000000e+00
    109   8.624156e+00   4.936140e-02   2.586743e+00   0.000000e+00   0.000000e+00
    110   8.671031e+00   4.986097e-02   2.573685e+00   0.000000e+00   0.000000e+00
    111   8.717906e+00   5.036304e-02   2.560760e+00   0.000000e+00   0.000000e+00
    112   8.764781e+00   5.086761e-02   2.547964e+00   0.000000e+00   0.000000e+00
    113   8.811656e+00   5.137469e-02   2.535297e+00   0.000000e+00   0.000000e+00
    114   8.858531e+00   5.188426e-02   2.522756e+00   0.000000e+00   0.000000e+00
    115   8.905406e+00   5.239634e-02   2.510340e+00   0.000000e+00   0.000000e+00
    116   8.952281e+00   5.291093e-02   2.498046e+00   0.000000e+00   0.000000e+00
    117   8.999156e+00   5.342801e-02   2.485873e+00   0.000000e+00   0.000000e+00
    118   9.046031e+00   5.394760e-02   2.473819e+00   0.000000e+00   0.000000e+00
    119   9.092906e+00   5.446969e-02   2.461882e+00   0.000000e+00   0.000000e+00
    120   9.139781e+00   5.499429e-02   2.450061e+00   0.000000e+00   0.000000e+00
