# power spectrum of omega (curl v)
# redshift z=0.907500
# k              Pk             sigma(k)       sigma(Pk)      count
  3.212440e-02   3.001288e-18   4.915339e-03   6.037849e-19   18
  5.615613e-02   4.850402e-17   5.945059e-03   5.354157e-18   62
  7.815808e-02   2.954856e-16   4.112744e-03   3.494355e-17   90
  9.898783e-02   1.019402e-15   6.490772e-03   5.420051e-17   170
  1.206652e-01   3.596460e-15   6.746473e-03   1.886232e-16   246
  1.418326e-01   7.962034e-15   6.431734e-03   3.015719e-16   338
  1.627221e-01   1.798046e-14   5.529486e-03   6.013774e-16   432
  1.842373e-01   3.801003e-14   5.664946e-03   1.153404e-15   578
  2.072002e-01   7.645950e-14   6.772075e-03   1.974068e-15   810
  2.303547e-01   1.388332e-13   6.480384e-03   3.323871e-15   950
  2.517847e-01   2.596785e-13   5.785063e-03   5.955737e-15   1002
  2.732112e-01   4.144473e-13   6.616244e-03   8.230965e-15   1334
  2.948935e-01   6.292860e-13   6.196170e-03   1.225604e-14   1410
  3.155343e-01   9.289298e-13   6.190496e-03   1.562124e-14   1652
  3.371087e-01   1.326940e-12   6.109282e-03   2.146770e-14   1974
  3.592470e-01   1.774690e-12   5.988009e-03   2.693220e-14   2234
  3.814465e-01   2.404518e-12   6.299517e-03   3.309915e-14   2554
  4.040079e-01   3.534945e-12   6.593104e-03   4.689556e-14   2950
  4.261031e-01   4.735688e-12   6.171339e-03   6.141994e-14   3042
  4.475593e-01   6.039771e-12   6.293558e-03   7.393562e-14   3422
  4.688647e-01   7.853837e-12   6.073955e-03   9.518888e-14   3618
  4.903170e-01   1.005699e-11   6.323437e-03   1.089789e-13   4172
  5.121345e-01   1.242378e-11   6.117225e-03   1.375190e-13   4470
  5.340670e-01   1.583532e-11   6.251277e-03   1.636915e-13   4970
  5.560786e-01   1.989044e-11   6.280253e-03   1.941757e-13   5334
  5.781031e-01   2.390642e-11   6.450693e-03   2.283980e-13   5810
  5.998654e-01   2.817025e-11   6.409345e-03   2.564447e-13   6114
  6.217707e-01   3.502994e-11   6.530951e-03   3.052805e-13   6782
  6.431254e-01   4.042166e-11   5.957963e-03   3.559947e-13   6684
  6.642909e-01   4.748899e-11   6.157953e-03   3.960340e-13   7574
  6.862389e-01   5.770272e-11   6.219599e-03   4.471215e-13   8154
  7.081165e-01   6.579442e-11   6.187604e-03   4.888419e-13   8618
  7.303591e-01   7.690167e-11   6.484699e-03   5.518504e-13   9494
  7.523947e-01   8.930331e-11   6.256015e-03   6.467388e-13   9618
  7.741349e-01   1.044046e-10   6.355473e-03   7.399463e-13   10306
  7.959832e-01   1.177277e-10   6.413480e-03   7.897111e-13   10942
  8.177624e-01   1.323748e-10   6.261913e-03   8.829036e-13   11452
  8.395216e-01   1.495990e-10   6.152107e-03   9.782408e-13   12046
  8.610922e-01   1.702056e-10   6.044835e-03   1.080984e-12   12522
  8.829136e-01   1.895444e-10   6.318016e-03   1.152981e-12   13562
  9.049170e-01   2.146346e-10   6.428896e-03   1.259149e-12   14182
  9.269487e-01   2.355993e-10   6.491323e-03   1.373116e-12   14986
  9.486001e-01   2.621491e-10   6.173884e-03   1.528787e-12   14982
  9.702086e-01   2.845021e-10   6.417981e-03   1.589873e-12   16388
  9.919845e-01   3.200893e-10   6.166571e-03   1.765593e-12   16626
  1.013613e+00   3.492108e-10   6.255647e-03   1.900092e-12   17678
  1.035416e+00   3.866135e-10   6.158740e-03   2.067324e-12   18354
  1.057131e+00   4.260410e-10   6.210828e-03   2.206770e-12   19034
  1.078922e+00   4.614716e-10   6.366064e-03   2.335077e-12   20142
  1.101075e+00   5.036732e-10   6.512142e-03   2.448073e-12   21386
  1.122981e+00   5.424244e-10   6.235641e-03   2.631157e-12   21318
  1.144701e+00   5.909743e-10   6.300582e-03   2.790739e-12   22676
  1.166585e+00   6.374466e-10   6.235939e-03   2.962334e-12   23322
  1.188296e+00   6.885436e-10   6.158201e-03   3.169371e-12   24134
