# power spectrum of theta (div v)
# redshift z=1.696000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.055727e-02   2.449136e-10   4.675553e-03   2.543404e-11   18
  5.341665e-02   8.584976e-10   5.655040e-03   3.853116e-11   62
  7.434527e-02   1.772255e-09   3.912110e-03   5.527671e-11   90
  9.415887e-02   2.365210e-09   6.174130e-03   5.688996e-11   170
  1.147788e-01   3.099212e-09   6.417357e-03   7.516468e-11   246
  1.349136e-01   4.272151e-09   6.117973e-03   9.575679e-11   338
  1.547840e-01   4.861515e-09   5.259740e-03   1.107872e-10   432
  1.752496e-01   6.009456e-09   5.388591e-03   1.275693e-10   578
  1.970923e-01   6.857077e-09   6.441711e-03   1.436579e-10   810
  2.191172e-01   7.386709e-09   6.164249e-03   1.594399e-10   950
  2.395018e-01   8.659029e-09   5.502849e-03   1.878309e-10   1002
  2.598830e-01   9.533055e-09   6.293481e-03   1.897969e-10   1334
  2.805077e-01   1.040569e-08   5.893900e-03   2.097394e-10   1410
  3.001415e-01   1.102637e-08   5.888504e-03   2.131190e-10   1652
  3.206634e-01   1.162748e-08   5.811251e-03   2.194369e-10   1974
  3.417217e-01   1.259697e-08   5.695893e-03   2.289436e-10   2234
  3.628382e-01   1.380683e-08   5.992205e-03   2.390665e-10   2554
  3.842991e-01   1.367157e-08   6.271470e-03   2.295909e-10   2950
  4.053164e-01   1.429194e-08   5.870280e-03   2.391722e-10   3042
  4.257258e-01   1.471173e-08   5.986537e-03   2.432323e-10   3422
  4.459920e-01   1.582162e-08   5.777647e-03   2.513186e-10   3618
  4.663977e-01   1.628164e-08   6.014958e-03   2.467076e-10   4172
  4.871509e-01   1.745603e-08   5.818807e-03   2.622571e-10   4470
  5.080134e-01   1.802762e-08   5.946319e-03   2.570814e-10   4970
  5.289512e-01   1.918389e-08   5.973882e-03   2.587104e-10   5334
  5.499014e-01   1.900638e-08   6.136007e-03   2.443693e-10   5810
  5.706020e-01   2.025188e-08   6.096676e-03   2.531498e-10   6114
  5.914387e-01   2.021502e-08   6.212350e-03   2.406972e-10   6782
  6.117516e-01   2.153782e-08   5.667314e-03   2.611576e-10   6684
  6.318846e-01   2.149238e-08   5.857548e-03   2.495607e-10   7574
  6.527619e-01   2.240687e-08   5.916187e-03   2.449673e-10   8154
  6.735722e-01   2.265808e-08   5.885752e-03   2.390079e-10   8618
