# power spectrum of velocity
# redshift z=1.188200
# k              Pk             sigma(k)       sigma(Pk)      count
  2.982968e-02   6.032389e-07   4.564224e-03   4.601744e-08   18
  5.214475e-02   7.152291e-07   5.520388e-03   2.420116e-08   62
  7.257506e-02   7.755638e-07   3.818960e-03   2.369291e-08   90
  9.191687e-02   6.448595e-07   6.027119e-03   1.714407e-08   170
  1.120458e-01   5.556109e-07   6.264555e-03   1.449630e-08   246
  1.317012e-01   5.593477e-07   5.972299e-03   1.403117e-08   338
  1.510985e-01   4.837555e-07   5.134501e-03   1.271249e-08   432
  1.710768e-01   4.696311e-07   5.260284e-03   1.174304e-08   578
  1.923993e-01   4.152671e-07   6.288329e-03   1.000556e-08   810
  2.138999e-01   3.621125e-07   6.017474e-03   8.973844e-09   950
  2.337991e-01   3.579912e-07   5.371822e-03   8.652444e-09   1002
  2.536950e-01   3.326827e-07   6.143628e-03   7.277924e-09   1334
  2.738285e-01   3.136196e-07   5.753562e-03   6.879840e-09   1410
  2.929949e-01   2.904404e-07   5.748293e-03   6.187027e-09   1652
  3.130282e-01   2.670762e-07   5.672880e-03   5.421715e-09   1974
  3.335851e-01   2.525667e-07   5.560270e-03   4.921481e-09   2234
  3.541988e-01   2.458146e-07   5.849526e-03   4.535312e-09   2554
  3.751486e-01   2.154398e-07   6.122142e-03   3.801048e-09   2950
  3.956655e-01   2.033245e-07   5.730505e-03   3.520972e-09   3042
  4.155890e-01   1.913744e-07   5.843993e-03   3.271173e-09   3422
  4.353725e-01   1.851831e-07   5.640077e-03   3.146583e-09   3618
  4.552924e-01   1.753189e-07   5.871737e-03   2.710766e-09   4172
  4.755514e-01   1.707576e-07   5.680256e-03   2.580733e-09   4470
  4.959172e-01   1.621088e-07   5.804732e-03   2.340269e-09   4970
  5.163564e-01   1.587899e-07   5.831639e-03   2.129884e-09   5334
  5.368078e-01   1.470651e-07   5.989903e-03   1.910979e-09   5810
  5.570155e-01   1.429674e-07   5.951509e-03   1.782628e-09   6114
  5.773560e-01   1.335829e-07   6.064428e-03   1.601521e-09   6782
  5.971853e-01   1.338118e-07   5.532370e-03   1.664610e-09   6684
  6.168389e-01   1.247270e-07   5.718075e-03   1.469236e-09   7574
  6.372191e-01   1.209897e-07   5.775318e-03   1.316642e-09   8154
  6.575339e-01   1.160233e-07   5.745608e-03   1.199101e-09   8618
  6.781877e-01   1.105912e-07   6.021480e-03   1.106413e-09   9494
  6.986492e-01   1.067561e-07   5.809132e-03   1.095688e-09   9618
  7.188365e-01   1.041838e-07   5.901485e-03   1.008274e-09   10306
  7.391241e-01   1.007209e-07   5.955349e-03   9.380442e-10   10942
  7.593476e-01   9.619941e-08   5.814609e-03   8.910344e-10   11452
  7.795524e-01   9.180556e-08   5.712647e-03   8.382479e-10   12046
  7.995822e-01   8.825392e-08   5.613036e-03   7.939947e-10   12522
  8.198448e-01   8.693871e-08   5.866704e-03   7.351578e-10   13562
  8.402765e-01   8.290861e-08   5.969664e-03   6.973485e-10   14182
  8.607344e-01   8.064502e-08   6.027631e-03   6.571775e-10   14986
  8.808391e-01   7.937557e-08   5.732868e-03   6.436267e-10   14982
  9.009042e-01   7.543028e-08   5.959528e-03   5.831283e-10   16388
  9.211245e-01   7.438032e-08   5.726077e-03   5.793294e-10   16626
  9.412080e-01   7.065689e-08   5.808790e-03   5.367034e-10   17678
  9.614536e-01   6.964692e-08   5.718805e-03   5.148827e-10   18354
  9.816171e-01   6.711186e-08   5.767173e-03   4.818488e-10   19034
  1.001851e+00   6.400761e-08   5.911320e-03   4.451125e-10   20142
  1.022422e+00   6.274767e-08   6.046963e-03   4.280329e-10   21386
  1.042764e+00   6.145945e-08   5.790214e-03   4.165122e-10   21318
  1.062932e+00   5.966221e-08   5.850515e-03   3.965242e-10   22676
  1.083253e+00   5.669800e-08   5.790490e-03   3.585651e-10   23322
  1.103413e+00   5.535794e-08   5.718305e-03   3.595945e-10   24134
  1.123614e+00   5.475062e-08   5.819163e-03   3.419382e-10   25146
  1.143850e+00   5.262816e-08   5.791756e-03   3.180975e-10   26030
  1.163980e+00   5.105964e-08   5.823637e-03   3.077240e-10   26674
  1.184331e+00   5.055067e-08   5.986797e-03   2.885990e-10   28570
  1.204528e+00   4.846941e-08   5.785914e-03   2.813187e-10   28224
  1.224797e+00   4.686838e-08   5.983114e-03   2.658314e-10   30626
  1.245070e+00   4.611300e-08   5.599281e-03   2.631160e-10   30158
  1.265029e+00   4.391191e-08   5.737827e-03   2.422893e-10   31674
  1.285327e+00   4.330440e-08   5.928269e-03   2.314741e-10   33306
  1.305524e+00   4.235066e-08   5.742541e-03   2.286460e-10   33422
  1.325707e+00   4.084108e-08   5.892777e-03   2.156638e-10   35298
  1.346202e+00   4.001656e-08   5.895770e-03   2.045171e-10   36650
  1.366519e+00   3.920301e-08   5.840035e-03   1.973286e-10   36992
  1.386821e+00   3.781378e-08   5.893165e-03   1.886871e-10   38730
  1.407130e+00   3.641332e-08   5.748719e-03   1.765882e-10   39246
  1.427315e+00   3.543388e-08   5.840556e-03   1.711088e-10   40466
  1.447400e+00   3.423064e-08   5.694333e-03   1.650061e-10   41170
  1.467639e+00   3.402324e-08   5.942031e-03   1.583659e-10   43534
  1.487930e+00   3.273241e-08   5.722812e-03   1.509864e-10   43650
  1.508054e+00   3.206298e-08   5.793120e-03   1.444128e-10   45272
  1.528442e+00   3.113101e-08   5.896083e-03   1.384940e-10   47098
  1.548787e+00   3.031676e-08   5.794469e-03   1.342249e-10   47746
  1.568983e+00   2.995711e-08   5.830404e-03   1.313388e-10   48870
  1.589078e+00   2.883218e-08   5.688090e-03   1.247422e-10   49682
  1.609132e+00   2.824919e-08   5.724076e-03   1.194336e-10   51222
  1.629408e+00   2.765561e-08   5.932774e-03   1.139869e-10   53378
