# power spectrum of delta
# redshift z=-0.045800
# k              Pk             sigma(k)       sigma(Pk)      count
  2.982968e-02   2.652315e-02   4.564224e-03   2.739215e-03   18
  5.214475e-02   9.953161e-02   5.520388e-03   5.274170e-03   62
  7.257506e-02   2.081092e-01   3.818960e-03   9.392112e-03   90
  9.191687e-02   2.647839e-01   6.027119e-03   1.078910e-02   170
  1.120458e-01   3.532222e-01   6.264555e-03   1.636186e-02   246
  1.317012e-01   5.081832e-01   5.972299e-03   0.000000e+00   338
  1.510985e-01   6.311562e-01   5.134501e-03   0.000000e+00   432
  1.710768e-01   7.865108e-01   5.260284e-03   0.000000e+00   578
  1.923993e-01   9.200499e-01   6.288329e-03   0.000000e+00   810
  2.138999e-01   1.062224e+00   6.017474e-03   0.000000e+00   950
  2.337991e-01   1.344053e+00   5.371822e-03   0.000000e+00   1002
  2.536950e-01   1.522998e+00   6.143628e-03   0.000000e+00   1334
  2.738285e-01   1.858459e+00   5.753562e-03   0.000000e+00   1410
  2.929949e-01   2.020860e+00   5.748293e-03   0.000000e+00   1652
  3.130282e-01   2.332331e+00   5.672880e-03   0.000000e+00   1974
  3.335851e-01   2.469441e+00   5.560270e-03   0.000000e+00   2234
  3.541988e-01   2.858975e+00   5.849526e-03   0.000000e+00   2554
  3.751486e-01   3.021192e+00   6.122142e-03   0.000000e+00   2950
  3.956655e-01   3.519341e+00   5.730505e-03   0.000000e+00   3042
  4.155890e-01   3.708764e+00   5.843993e-03   0.000000e+00   3422
  4.353725e-01   3.897967e+00   5.640077e-03   0.000000e+00   3618
  4.552924e-01   4.477835e+00   5.871737e-03   0.000000e+00   4172
  4.755514e-01   4.953434e+00   5.680256e-03   0.000000e+00   4470
  4.959172e-01   5.410231e+00   5.804732e-03   0.000000e+00   4970
  5.163564e-01   6.057161e+00   5.831639e-03   0.000000e+00   5334
  5.368078e-01   6.473000e+00   5.989903e-03   0.000000e+00   5810
  5.570155e-01   6.966258e+00   5.951509e-03   0.000000e+00   6114
  5.773560e-01   7.372282e+00   6.064428e-03   0.000000e+00   6782
  5.971853e-01   7.885660e+00   5.532370e-03   0.000000e+00   6684
  6.168389e-01   8.407459e+00   5.718075e-03   0.000000e+00   7574
  6.372191e-01   9.241981e+00   5.775318e-03   0.000000e+00   8154
  6.575339e-01   9.801346e+00   5.745608e-03   0.000000e+00   8618
  6.781877e-01   1.015964e+01   6.021480e-03   0.000000e+00   9494
  6.986492e-01   1.079685e+01   5.809132e-03   0.000000e+00   9618
  7.188365e-01   1.158850e+01   5.901485e-03   0.000000e+00   10306
  7.391241e-01   1.235797e+01   5.955349e-03   0.000000e+00   10942
  7.593476e-01   1.305670e+01   5.814609e-03   0.000000e+00   11452
  7.795524e-01   1.404677e+01   5.712647e-03   0.000000e+00   12046
  7.995822e-01   1.445960e+01   5.613036e-03   0.000000e+00   12522
  8.198448e-01   1.522982e+01   5.866704e-03   0.000000e+00   13562
  8.402765e-01   1.595919e+01   5.969664e-03   0.000000e+00   14182
  8.607344e-01   1.702353e+01   6.027631e-03   0.000000e+00   14986
  8.808391e-01   1.758871e+01   5.732868e-03   0.000000e+00   14982
  9.009042e-01   1.801484e+01   5.959528e-03   0.000000e+00   16388
  9.211245e-01   1.927662e+01   5.726077e-03   0.000000e+00   16626
  9.412080e-01   2.005467e+01   5.808790e-03   0.000000e+00   17678
  9.614536e-01   2.132863e+01   5.718805e-03   0.000000e+00   18354
  9.816171e-01   2.169394e+01   5.767173e-03   0.000000e+00   19034
  1.001851e+00   2.292994e+01   5.911320e-03   0.000000e+00   20142
  1.022422e+00   2.392142e+01   6.046963e-03   0.000000e+00   21386
  1.042764e+00   2.493773e+01   5.790214e-03   0.000000e+00   21318
  1.062932e+00   2.564127e+01   5.850515e-03   0.000000e+00   22676
  1.083253e+00   2.591629e+01   5.790490e-03   0.000000e+00   23322
  1.103413e+00   2.747051e+01   5.718305e-03   0.000000e+00   24134
  1.123614e+00   2.789777e+01   5.819163e-03   0.000000e+00   25146
  1.143850e+00   2.895410e+01   5.791756e-03   0.000000e+00   26030
