# power spectrum of omega (curl v)
# redshift z=-0.045800
# k              Pk             sigma(k)       sigma(Pk)      count
  2.982968e-02   2.349560e-17   4.564224e-03   4.167791e-18   18
  5.214475e-02   5.127255e-16   5.520388e-03   5.909890e-17   62
  7.257506e-02   2.790758e-15   3.818960e-03   2.443893e-16   90
  9.191687e-02   1.094350e-14   6.027119e-03   6.563867e-16   170
  1.120458e-01   4.195948e-14   6.264555e-03   2.062608e-15   246
  1.317012e-01   8.032868e-14   5.972299e-03   3.583965e-15   338
  1.510985e-01   2.069602e-13   5.134501e-03   7.479258e-15   432
  1.710768e-01   4.274072e-13   5.260284e-03   1.261657e-14   578
  1.923993e-01   7.815730e-13   6.288329e-03   1.895709e-14   810
  2.138999e-01   1.433965e-12   6.017474e-03   3.407535e-14   950
  2.337991e-01   2.329545e-12   5.371822e-03   4.944626e-14   1002
  2.536950e-01   3.674509e-12   6.143628e-03   7.346765e-14   1334
  2.738285e-01   5.604831e-12   5.753562e-03   1.066888e-13   1410
  2.929949e-01   8.007176e-12   5.748293e-03   1.482117e-13   1652
  3.130282e-01   1.093816e-11   5.672880e-03   1.814587e-13   1974
  3.335851e-01   1.512440e-11   5.560270e-03   2.329158e-13   2234
  3.541988e-01   2.064309e-11   5.849526e-03   2.942309e-13   2554
  3.751486e-01   2.804367e-11   6.122142e-03   3.762526e-13   2950
  3.956655e-01   3.673845e-11   5.730505e-03   4.785325e-13   3042
  4.155890e-01   4.544535e-11   5.843993e-03   5.561170e-13   3422
  4.353725e-01   5.809187e-11   5.640077e-03   6.920751e-13   3618
  4.552924e-01   7.283289e-11   5.871737e-03   7.919799e-13   4172
  4.755514e-01   8.639361e-11   5.680256e-03   9.471363e-13   4470
  4.959172e-01   1.048674e-10   5.804732e-03   1.055768e-12   4970
  5.163564e-01   1.280669e-10   5.831639e-03   1.283999e-12   5334
  5.368078e-01   1.583408e-10   5.989903e-03   1.494505e-12   5810
  5.570155e-01   1.837874e-10   5.951509e-03   1.633056e-12   6114
  5.773560e-01   2.141904e-10   6.064428e-03   1.830129e-12   6782
  5.971853e-01   2.555680e-10   5.532370e-03   2.206204e-12   6684
  6.168389e-01   2.874007e-10   5.718075e-03   2.374358e-12   7574
  6.372191e-01   3.321250e-10   5.775318e-03   2.624571e-12   8154
  6.575339e-01   3.765604e-10   5.745608e-03   2.931430e-12   8618
  6.781877e-01   4.268416e-10   6.021480e-03   3.094958e-12   9494
  6.986492e-01   4.882219e-10   5.809132e-03   3.467862e-12   9618
  7.188365e-01   5.403893e-10   5.901485e-03   3.740482e-12   10306
