# power spectrum of theta (div v)
# redshift z=-0.045800
# k              Pk             sigma(k)       sigma(Pk)      count
  2.982968e-02   3.386715e-10   4.564224e-03   3.488070e-11   18
  5.214475e-02   1.161312e-09   5.520388e-03   5.647778e-11   62
  7.257506e-02   2.363355e-09   3.818960e-03   9.734996e-11   90
  9.191687e-02   2.994744e-09   6.027119e-03   1.149215e-10   170
  1.120458e-01   3.721188e-09   6.264555e-03   1.561277e-10   246
  1.317012e-01   5.119185e-09   5.972299e-03   1.838730e-10   338
  1.510985e-01   5.846089e-09   5.134501e-03   2.232101e-10   432
  1.710768e-01   7.086517e-09   5.260284e-03   2.427152e-10   578
  1.923993e-01   7.602507e-09   6.288329e-03   2.551269e-10   810
  2.138999e-01   8.184607e-09   6.017474e-03   2.622683e-10   950
  2.337991e-01   9.819987e-09   5.371822e-03   2.918345e-10   1002
  2.536950e-01   1.053289e-08   6.143628e-03   2.781645e-10   1334
  2.738285e-01   1.166610e-08   5.753562e-03   2.872837e-10   1410
  2.929949e-01   1.226081e-08   5.748293e-03   3.100133e-10   1652
  3.130282e-01   1.336682e-08   5.672880e-03   3.057440e-10   1974
  3.335851e-01   1.314239e-08   5.560270e-03   2.845225e-10   2234
  3.541988e-01   1.401853e-08   5.849526e-03   2.766424e-10   2554
  3.751486e-01   1.397594e-08   6.122142e-03   2.511034e-10   2950
  3.956655e-01   1.534145e-08   5.730505e-03   2.895928e-10   3042
  4.155890e-01   1.518744e-08   5.843993e-03   2.480718e-10   3422
  4.353725e-01   1.514448e-08   5.640077e-03   2.620884e-10   3618
  4.552924e-01   1.661228e-08   5.871737e-03   2.479473e-10   4172
  4.755514e-01   1.692032e-08   5.680256e-03   2.552157e-10   4470
  4.959172e-01   1.682918e-08   5.804732e-03   2.404038e-10   4970
  5.163564e-01   1.788641e-08   5.831639e-03   2.469563e-10   5334
  5.368078e-01   1.784779e-08   5.989903e-03   2.304291e-10   5810
  5.570155e-01   1.809088e-08   5.951509e-03   2.332521e-10   6114
  5.773560e-01   1.845147e-08   6.064428e-03   2.219049e-10   6782
  5.971853e-01   1.824023e-08   5.532370e-03   2.297340e-10   6684
  6.168389e-01   1.859637e-08   5.718075e-03   2.095636e-10   7574
  6.372191e-01   1.918889e-08   5.775318e-03   2.109390e-10   8154
  6.575339e-01   1.907862e-08   5.745608e-03   2.085388e-10   8618
  6.781877e-01   1.886495e-08   6.021480e-03   1.908004e-10   9494
  6.986492e-01   1.877023e-08   5.809132e-03   1.894199e-10   9618
  7.188365e-01   1.911231e-08   5.901485e-03   1.848994e-10   10306
  7.391241e-01   1.907047e-08   5.955349e-03   1.873935e-10   10942
  7.593476e-01   1.927500e-08   5.814609e-03   1.783185e-10   11452
  7.795524e-01   1.931985e-08   5.712647e-03   1.742524e-10   12046
  7.995822e-01   1.911629e-08   5.613036e-03   1.704720e-10   12522
  8.198448e-01   1.899560e-08   5.866704e-03   1.611019e-10   13562
  8.402765e-01   1.889586e-08   5.969664e-03   1.571783e-10   14182
  8.607344e-01   1.867672e-08   6.027631e-03   1.491291e-10   14986
  8.808391e-01   1.872001e-08   5.732868e-03   1.517956e-10   14982
  9.009042e-01   1.865637e-08   5.959528e-03   1.467229e-10   16388
  9.211245e-01   1.870240e-08   5.726077e-03   1.452400e-10   16626
  9.412080e-01   1.853403e-08   5.808790e-03   1.378950e-10   17678
  9.614536e-01   1.824482e-08   5.718805e-03   1.338762e-10   18354
  9.816171e-01   1.806622e-08   5.767173e-03   1.291813e-10   19034
  1.001851e+00   1.793145e-08   5.911320e-03   1.256492e-10   20142
  1.022422e+00   1.770713e-08   6.046963e-03   1.219022e-10   21386
  1.042764e+00   1.800903e-08   5.790214e-03   1.241195e-10   21318
  1.062932e+00   1.784920e-08   5.850515e-03   1.178389e-10   22676
  1.083253e+00   1.745251e-08   5.790490e-03   1.128237e-10   23322
  1.103413e+00   1.731486e-08   5.718305e-03   1.121660e-10   24134
  1.123614e+00   1.740029e-08   5.819163e-03   1.087768e-10   25146
  1.143850e+00   1.721927e-08   5.791756e-03   1.061506e-10   26030
  1.163980e+00   1.715396e-08   5.823637e-03   1.040189e-10   26674
  1.184331e+00   1.685482e-08   5.986797e-03   9.883095e-11   28570
  1.204528e+00   1.703619e-08   5.785914e-03   1.002179e-10   28224
  1.224797e+00   1.693450e-08   5.983114e-03   9.695008e-11   30626
  1.245070e+00   1.671437e-08   5.599281e-03   9.509571e-11   30158
  1.265029e+00   1.685534e-08   5.737827e-03   9.500473e-11   31674
  1.285327e+00   1.680121e-08   5.928269e-03   9.181832e-11   33306
  1.305524e+00   1.653204e-08   5.742541e-03   9.190385e-11   33422
  1.325707e+00   1.663145e-08   5.892777e-03   8.792576e-11   35298
  1.346202e+00   1.655059e-08   5.895770e-03   8.730225e-11   36650
  1.366519e+00   1.640711e-08   5.840035e-03   8.536982e-11   36992
  1.386821e+00   1.653899e-08   5.893165e-03   8.466476e-11   38730
  1.407130e+00   1.638949e-08   5.748719e-03   8.337976e-11   39246
  1.427315e+00   1.645610e-08   5.840556e-03   8.155929e-11   40466
  1.447400e+00   1.643946e-08   5.694333e-03   8.068439e-11   41170
  1.467639e+00   1.665565e-08   5.942031e-03   7.951738e-11   43534
  1.487930e+00   1.654465e-08   5.722812e-03   7.867951e-11   43650
  1.508054e+00   1.664069e-08   5.793120e-03   7.792915e-11   45272
  1.528442e+00   1.673097e-08   5.896083e-03   7.636859e-11   47098
  1.548787e+00   1.645205e-08   5.794469e-03   7.523529e-11   47746
  1.568983e+00   1.662178e-08   5.830404e-03   7.583199e-11   48870
  1.589078e+00   1.677512e-08   5.688090e-03   7.560045e-11   49682
  1.609132e+00   1.659372e-08   5.724076e-03   7.401275e-11   51222
  1.629408e+00   1.694585e-08   5.932774e-03   7.369771e-11   53378
  1.649621e+00   1.699569e-08   5.701424e-03   7.263127e-11   53634
  1.670009e+00   1.687134e-08   6.002460e-03   0.000000e+00   56888
  1.690452e+00   1.695972e-08   5.786581e-03   0.000000e+00   56650
  1.710745e+00   1.717971e-08   5.915258e-03   0.000000e+00   58786
  1.730990e+00   1.744723e-08   5.755170e-03   0.000000e+00   59214
  1.751174e+00   1.760320e-08   5.959362e-03   0.000000e+00   61250
  1.771315e+00   1.769607e-08   5.783991e-03   0.000000e+00   61686
  1.791390e+00   1.793777e-08   5.803187e-03   0.000000e+00   63626
  1.811707e+00   1.786972e-08   5.911245e-03   0.000000e+00   66204
  1.832113e+00   1.808312e-08   5.925381e-03   0.000000e+00   67094
  1.852330e+00   1.837916e-08   5.793584e-03   0.000000e+00   67890
  1.872578e+00   1.836687e-08   5.757774e-03   0.000000e+00   70334
  1.892803e+00   1.868996e-08   5.665350e-03   0.000000e+00   70626
  1.912877e+00   1.885265e-08   5.900353e-03   0.000000e+00   72554
  1.933087e+00   1.907351e-08   5.919991e-03   0.000000e+00   74550
  1.953307e+00   1.923846e-08   5.807007e-03   0.000000e+00   75674
  1.973512e+00   1.961851e-08   5.767151e-03   0.000000e+00   77564
  1.993966e+00   1.979559e-08   5.931291e-03   0.000000e+00   80766
  2.014325e+00   1.992013e-08   5.719062e-03   0.000000e+00   80202
