# power spectrum of velocity
# redshift z=-0.045800
# k              Pk             sigma(k)       sigma(Pk)      count
  2.982968e-02   7.167091e-07   4.564224e-03   5.491926e-08   18
  5.214475e-02   8.324826e-07   5.520388e-03   3.204492e-08   62
  7.257506e-02   8.895040e-07   3.818960e-03   3.512911e-08   90
  9.191687e-02   7.104642e-07   6.027119e-03   2.740926e-08   170
  1.120458e-01   5.849218e-07   6.264555e-03   2.355836e-08   246
  1.317012e-01   5.869949e-07   5.972299e-03   2.081035e-08   338
  1.510985e-01   5.099903e-07   5.134501e-03   1.958305e-08   432
  1.710768e-01   4.868028e-07   5.260284e-03   1.702279e-08   578
  1.923993e-01   4.092166e-07   6.288329e-03   1.360609e-08   810
  2.138999e-01   3.570702e-07   6.017474e-03   1.156788e-08   950
  2.337991e-01   3.570832e-07   5.371822e-03   1.057866e-08   1002
  2.536950e-01   3.254100e-07   6.143628e-03   8.555608e-09   1334
  2.738285e-01   3.098428e-07   5.753562e-03   7.626682e-09   1410
  2.929949e-01   2.844984e-07   5.748293e-03   7.194060e-09   1652
  3.130282e-01   2.720851e-07   5.672880e-03   6.201110e-09   1974
  3.335851e-01   2.349876e-07   5.560270e-03   5.033166e-09   2234
  3.541988e-01   2.228495e-07   5.849526e-03   4.390678e-09   2554
  3.751486e-01   1.981945e-07   6.122142e-03   3.556507e-09   2950
  3.956655e-01   1.959410e-07   5.730505e-03   3.696311e-09   3042
  4.155890e-01   1.758243e-07   5.843993e-03   2.864164e-09   3422
  4.353725e-01   1.598286e-07   5.640077e-03   2.756540e-09   3618
  4.552924e-01   1.604481e-07   5.871737e-03   2.384839e-09   4172
  4.755514e-01   1.499426e-07   5.680256e-03   2.252231e-09   4470
  4.959172e-01   1.374310e-07   5.804732e-03   1.953909e-09   4970
  5.163564e-01   1.348305e-07   5.831639e-03   1.850198e-09   5334
  5.368078e-01   1.247154e-07   5.989903e-03   1.595494e-09   5810
  5.570155e-01   1.176467e-07   5.951509e-03   1.503252e-09   6114
  5.773560e-01   1.118715e-07   6.064428e-03   1.333160e-09   6782
  5.971853e-01   1.036240e-07   5.532370e-03   1.288486e-09   6684
  6.168389e-01   9.913196e-08   5.718075e-03   1.099893e-09   7574
  6.372191e-01   9.610434e-08   5.775318e-03   1.039791e-09   8154
  6.575339e-01   8.996138e-08   5.745608e-03   9.643760e-10   8618
  6.781877e-01   8.389711e-08   6.021480e-03   8.298717e-10   9494
  6.986492e-01   7.895930e-08   5.809132e-03   7.764296e-10   9618
  7.188365e-01   7.612451e-08   5.901485e-03   7.157905e-10   10306
  7.391241e-01   7.214528e-08   5.955349e-03   6.870075e-10   10942
  7.593476e-01   6.929491e-08   5.814609e-03   6.189684e-10   11452
  7.795524e-01   6.618636e-08   5.712647e-03   5.756320e-10   12046
  7.995822e-01   6.253188e-08   5.613036e-03   5.351144e-10   12522
  8.198448e-01   5.940286e-08   5.866704e-03   4.810968e-10   13562
  8.402765e-01   5.656653e-08   5.969664e-03   4.473450e-10   14182
  8.607344e-01   5.357639e-08   6.027631e-03   4.048757e-10   14986
  8.808391e-01   5.154357e-08   5.732868e-03   3.939949e-10   14982
  9.009042e-01   4.944425e-08   5.959528e-03   3.639514e-10   16388
  9.211245e-01   4.766828e-08   5.726077e-03   3.446894e-10   16626
  9.412080e-01   4.546384e-08   5.808790e-03   3.137529e-10   17678
  9.614536e-01   4.323427e-08   5.718805e-03   2.924208e-10   18354
  9.816171e-01   4.136094e-08   5.767173e-03   2.706575e-10   19034
  1.001851e+00   3.973944e-08   5.911320e-03   2.531590e-10   20142
  1.022422e+00   3.794739e-08   6.046963e-03   2.361708e-10   21386
  1.042764e+00   3.734068e-08   5.790214e-03   2.311351e-10   21318
  1.062932e+00   3.589257e-08   5.850515e-03   2.113676e-10   22676
  1.083253e+00   3.421376e-08   5.790490e-03   1.953714e-10   23322
  1.103413e+00   3.291296e-08   5.718305e-03   1.875057e-10   24134
  1.123614e+00   3.212574e-08   5.819163e-03   1.752313e-10   25146
  1.143850e+00   3.101949e-08   5.791756e-03   1.650469e-10   26030
  1.163980e+00   3.004895e-08   5.823637e-03   1.565801e-10   26674
  1.184331e+00   2.882886e-08   5.986797e-03   1.441538e-10   28570
  1.204528e+00   2.834841e-08   5.785914e-03   1.414392e-10   28224
  1.224797e+00   2.751305e-08   5.983114e-03   1.325297e-10   30626
  1.245070e+00   2.657613e-08   5.599281e-03   1.258870e-10   30158
  1.265029e+00   2.618042e-08   5.737827e-03   1.223659e-10   31674
  1.285327e+00   2.549266e-08   5.928269e-03   1.147377e-10   33306
  1.305524e+00   2.461368e-08   5.742541e-03   1.114051e-10   33422
  1.325707e+00   2.419372e-08   5.892777e-03   1.035808e-10   35298
  1.346202e+00   2.359550e-08   5.895770e-03   9.993915e-11   36650
  1.366519e+00   2.294224e-08   5.840035e-03   9.506645e-11   36992
  1.386821e+00   2.258775e-08   5.893165e-03   9.153768e-11   38730
  1.407130e+00   2.196604e-08   5.748719e-03   8.803832e-11   39246
  1.427315e+00   2.158837e-08   5.840556e-03   8.379813e-11   40466
  1.447400e+00   2.122547e-08   5.694333e-03   8.105741e-11   41170
  1.467639e+00   2.100554e-08   5.942031e-03   7.768694e-11   43534
  1.487930e+00   2.055186e-08   5.722812e-03   7.483577e-11   43650
  1.508054e+00   2.022689e-08   5.793120e-03   7.242865e-11   45272
  1.528442e+00   2.000029e-08   5.896083e-03   6.927400e-11   47098
  1.548787e+00   1.937356e-08   5.794469e-03   6.679149e-11   47746
  1.568983e+00   1.918842e-08   5.830404e-03   6.561983e-11   48870
  1.589078e+00   1.904270e-08   5.688090e-03   6.391245e-11   49682
  1.609132e+00   1.851775e-08   5.724076e-03   6.127102e-11   51222
  1.629408e+00   1.857885e-08   5.932774e-03   5.963083e-11   53378
  1.649621e+00   1.826786e-08   5.701424e-03   5.747887e-11   53634
  1.670009e+00   1.788286e-08   6.002460e-03   5.504554e-11   56888
  1.690452e+00   1.770619e-08   5.786581e-03   5.399945e-11   56650
  1.710745e+00   1.757580e-08   5.915258e-03   5.270420e-11   58786
  1.730990e+00   1.752618e-08   5.755170e-03   5.164683e-11   59214
  1.751174e+00   1.737076e-08   5.959362e-03   5.022578e-11   61250
  1.771315e+00   1.718580e-08   5.783991e-03   5.003552e-11   61686
  1.791390e+00   1.707887e-08   5.803187e-03   4.830582e-11   63626
  1.811707e+00   1.676941e-08   5.911245e-03   4.652847e-11   66204
  1.832113e+00   1.666853e-08   5.925381e-03   4.592272e-11   67094
  1.852330e+00   1.668870e-08   5.793584e-03   4.594877e-11   67890
  1.872578e+00   1.640704e-08   5.757774e-03   4.361635e-11   70334
  1.892803e+00   1.639105e-08   5.665350e-03   4.373227e-11   70626
  1.912877e+00   1.625062e-08   5.900353e-03   4.255100e-11   72554
  1.933087e+00   1.622788e-08   5.919991e-03   4.145861e-11   74550
  1.953307e+00   1.606011e-08   5.807007e-03   4.064713e-11   75674
  1.973512e+00   1.606151e-08   5.767151e-03   4.023509e-11   77564
  1.993966e+00   1.593829e-08   5.931291e-03   3.947363e-11   80766
  2.014325e+00   1.582948e-08   5.719062e-03   3.885498e-11   80202
  2.034574e+00   1.577276e-08   5.806561e-03   3.813247e-11   83102
  2.054872e+00   1.562529e-08   5.832426e-03   3.753929e-11   83890
  2.075065e+00   1.550233e-08   5.862207e-03   3.687925e-11   85522
  2.095181e+00   1.551963e-08   5.687972e-03   3.675266e-11   86670
  2.115377e+00   1.542712e-08   5.779417e-03   3.585508e-11   89588
  2.135707e+00   1.538229e-08   5.932128e-03   3.553558e-11   91038
  2.155976e+00   1.522962e-08   5.790963e-03   3.464164e-11   92522
  2.176198e+00   1.518099e-08   5.732114e-03   3.438966e-11   94242
  2.196586e+00   1.514328e-08   5.944716e-03   3.356698e-11   97550
  2.216800e+00   1.515240e-08   5.971745e-03   3.399381e-11   96250
  2.236827e+00   1.507617e-08   5.884419e-03   3.305277e-11   99166
  2.256968e+00   1.500609e-08   5.696998e-03   3.264654e-11   100932
  2.277261e+00   1.486874e-08   5.962414e-03   3.186279e-11   104306
  2.297589e+00   1.476824e-08   5.906529e-03   3.137850e-11   104990
  2.317898e+00   1.477979e-08   5.703593e-03   3.128430e-11   107874
  2.338193e+00   1.466110e-08   5.397108e-03   3.042661e-11   108322
  2.358428e+00   1.463209e-08   5.259746e-03   3.009979e-11   111454
  2.378666e+00   1.453780e-08   5.732321e-03   2.995775e-11   112002
  2.398797e+00   1.450931e-08   5.800385e-03   2.946894e-11   114158
  2.418967e+00   1.449083e-08   5.688063e-03   2.934064e-11   116148
  2.439215e+00   1.445536e-08   5.915141e-03   2.884935e-11   118754
  2.459505e+00   1.437158e-08   5.949493e-03   2.821817e-11   120942
  2.479848e+00   1.429241e-08   5.738183e-03   2.785641e-11   123170
  2.500080e+00   1.435530e-08   6.017508e-03   2.779735e-11   123638
  2.520290e+00   1.411941e-08   5.567510e-03   2.716127e-11   126858
  2.540478e+00   1.410708e-08   5.853198e-03   2.710027e-11   127698
  2.560644e+00   1.405567e-08   5.880664e-03   2.660499e-11   130640
  2.580895e+00   1.399083e-08   5.824920e-03   2.631763e-11   132642
  2.601131e+00   1.392163e-08   5.747660e-03   2.586624e-11   134534
  2.621445e+00   1.387683e-08   5.835944e-03   2.556413e-11   137954
  2.641876e+00   1.381326e-08   5.794564e-03   2.521867e-11   140610
  2.662120e+00   1.374051e-08   5.900707e-03   2.500350e-11   139590
  2.682272e+00   1.372101e-08   5.964137e-03   2.485784e-11   143546
  2.702527e+00   1.365466e-08   5.625112e-03   2.435434e-11   145338
  2.722719e+00   1.361161e-08   5.863414e-03   2.420720e-11   147272
  2.742979e+00   1.354719e-08   5.939674e-03   2.394410e-11   150434
  2.763273e+00   1.350871e-08   5.679171e-03   2.350537e-11   152214
  2.783461e+00   1.344429e-08   5.885167e-03   2.325577e-11   153186
  2.803764e+00   1.339838e-08   5.980243e-03   2.288775e-11   158642
  2.824038e+00   1.338580e-08   5.448415e-03   2.296339e-11   157350
  2.844229e+00   1.333256e-08   5.823622e-03   2.245277e-11   161906
  2.864358e+00   1.327266e-08   5.710559e-03   2.240478e-11   160824
  2.884581e+00   1.318750e-08   6.320328e-03   2.168992e-11   167906
  2.904925e+00   1.311049e-08   5.765809e-03   2.164657e-11   167578
  2.925100e+00   1.307638e-08   5.763973e-03   2.151600e-11   169798
  2.945360e+00   1.304059e-08   5.872672e-03   2.115434e-11   173586
  2.965659e+00   1.298866e-08   5.990768e-03   2.097713e-11   175274
