# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.908739e-02   3.756864e-02   1.608418e-05   1.453541e-02   6
  6.942005e-02   2.022374e-01   0.000000e+00   4.358418e-02   12
  9.065882e-02   2.048818e-01   6.508962e-03   3.482589e-02   14
  1.150009e-01   3.901444e-01   5.237893e-03   4.023677e-02   48
  1.448559e-01   5.199642e-01   3.804799e-03   6.637956e-02   42
  1.590162e-01   4.823859e-01   3.787897e-03   6.071909e-02   48
  1.803014e-01   7.051107e-01   4.541081e-03   6.581715e-02   80
  2.043367e-01   9.302543e-01   3.525774e-03   8.507467e-02   90
  2.227252e-01   9.007998e-01   5.536438e-03   8.151578e-02   120
  2.488487e-01   1.147637e+00   4.652757e-03   7.954091e-02   158
  2.661513e-01   1.429396e+00   2.208030e-03   1.510092e-01   120
  2.869973e-01   1.543842e+00   4.935215e-03   1.138137e-01   186
  3.100294e-01   1.790169e+00   6.749025e-03   1.080351e-01   264
  3.287449e-01   2.020129e+00   3.643590e-03   1.390638e-01   168
  3.526244e-01   2.328434e+00   6.511952e-03   1.190251e-01   386
  3.726071e-01   2.386193e+00   3.940433e-03   1.905215e-01   192
  3.922681e-01   3.152746e+00   6.460573e-03   1.604583e-01   390
  4.143561e-01   3.025436e+00   6.764213e-03   1.440982e-01   396
  4.351071e-01   3.402645e+00   6.710857e-03   1.637947e-01   398
  4.579190e-01   3.913761e+00   6.577772e-03   1.619427e-01   576
  4.803679e-01   4.006501e+00   6.673210e-03   1.941586e-01   444
  5.000037e-01   4.751459e+00   6.020862e-03   1.904855e-01   590
  5.223627e-01   4.628813e+00   6.593301e-03   1.774041e-01   648
  5.441711e-01   5.666600e+00   5.835223e-03   2.081658e-01   654
  5.635471e-01   5.474528e+00   4.840100e-03   2.018160e-01   636
  5.852063e-01   6.296227e+00   7.256543e-03   2.320975e-01   830
  6.055292e-01   6.475039e+00   5.223406e-03   2.203348e-01   792
  6.263096e-01   7.264042e+00   5.372178e-03   2.391517e-01   804
  6.475915e-01   8.016128e+00   6.630499e-03   2.703788e-01   1038
  6.681954e-01   8.106179e+00   5.193545e-03   2.564078e-01   936
  6.905275e-01   9.015129e+00   6.068542e-03   2.491940e-01   1130
  7.107689e-01   9.107129e+00   5.635557e-03   2.579910e-01   1104
  7.329881e-01   9.994004e+00   6.269045e-03   2.788286e-01   1230
  7.533066e-01   1.099028e+01   6.367515e-03   0.000000e+00   1260
  7.739493e-01   1.074659e+01   5.501309e-03   0.000000e+00   1286
  7.972959e-01   1.180570e+01   6.676093e-03   0.000000e+00   1728
  8.194182e-01   1.297627e+01   5.902225e-03   0.000000e+00   1392
  8.404441e-01   1.328688e+01   5.596426e-03   0.000000e+00   1626
  8.619949e-01   1.449353e+01   6.632074e-03   0.000000e+00   1760
  8.836339e-01   1.411198e+01   5.480218e-03   0.000000e+00   1686
  9.040332e-01   1.514510e+01   5.574399e-03   0.000000e+00   1812
  9.248915e-01   1.673943e+01   6.419722e-03   0.000000e+00   1862
  9.462081e-01   1.717903e+01   5.717354e-03   0.000000e+00   2160
  9.676557e-01   1.806493e+01   5.844358e-03   0.000000e+00   1956
  9.892345e-01   1.890969e+01   6.565757e-03   0.000000e+00   2454
  1.010292e+00   1.989065e+01   5.121137e-03   0.000000e+00   2048
  1.031427e+00   2.089458e+01   6.677803e-03   0.000000e+00   2538
  1.052288e+00   2.088757e+01   5.577661e-03   0.000000e+00   2400
  1.073374e+00   2.182884e+01   6.656280e-03   0.000000e+00   2526
  1.094412e+00   2.203979e+01   6.589372e-03   0.000000e+00   2856
  1.116356e+00   2.330869e+01   6.196896e-03   0.000000e+00   2804
  1.138029e+00   2.472536e+01   6.427098e-03   0.000000e+00   2958
  1.158655e+00   2.478980e+01   6.243018e-03   0.000000e+00   2976
  1.180422e+00   2.542837e+01   6.225673e-03   0.000000e+00   3194
  1.200801e+00   2.654350e+01   6.240619e-03   0.000000e+00   3120
  1.222874e+00   2.749958e+01   6.329110e-03   0.000000e+00   3606
  1.243940e+00   2.826127e+01   5.752321e-03   0.000000e+00   3276
  1.264464e+00   2.976773e+01   6.514698e-03   0.000000e+00   3600
  1.285577e+00   3.001978e+01   5.723835e-03   0.000000e+00   3638
  1.305903e+00   3.107532e+01   6.072077e-03   0.000000e+00   3744
  1.327893e+00   3.021451e+01   6.314721e-03   0.000000e+00   4170
  1.348913e+00   3.369262e+01   5.966133e-03   0.000000e+00   3984
  1.370324e+00   3.328431e+01   6.026060e-03   0.000000e+00   4334
  1.391449e+00   3.464523e+01   5.590013e-03   0.000000e+00   4284
