# power spectrum of omega (curl v)
# redshift z=1.093600
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   7.559689e-18   1.569186e-05   7.956476e-19   6
  6.772678e-02   8.859339e-17   0.000000e+00   1.277670e-17   12
  8.844750e-02   5.306250e-16   6.350197e-03   1.296488e-16   14
  1.121958e-01   1.034413e-15   5.110132e-03   1.086401e-16   48
  1.413226e-01   4.499151e-15   3.711993e-03   5.133124e-16   42
  1.551375e-01   1.005792e-14   3.695504e-03   8.246787e-16   48
  1.759035e-01   1.561085e-14   4.430317e-03   1.129226e-15   80
  1.993525e-01   3.639609e-14   3.439775e-03   2.191696e-15   90
  2.172926e-01   5.688810e-14   5.401395e-03   3.094098e-15   120
  2.427789e-01   1.207879e-13   4.539269e-03   6.967067e-15   158
  2.596594e-01   1.877914e-13   2.154172e-03   1.114599e-14   120
  2.799969e-01   2.318920e-13   4.814837e-03   1.428666e-14   186
  3.024673e-01   3.877711e-13   6.584405e-03   1.667686e-14   264
  3.207263e-01   5.462284e-13   3.554717e-03   3.010389e-14   168
  3.440233e-01   9.370782e-13   6.353114e-03   3.693500e-14   386
  3.635186e-01   1.092290e-12   3.844319e-03   4.619576e-14   192
  3.827000e-01   1.554311e-12   6.302989e-03   6.188666e-14   390
  4.042493e-01   2.033269e-12   6.599222e-03   7.085408e-14   396
  4.244941e-01   2.547412e-12   6.547168e-03   9.248239e-14   398
  4.467496e-01   4.112947e-12   6.417329e-03   1.259971e-13   576
  4.686509e-01   5.136760e-12   6.510439e-03   1.809391e-13   444
  4.878078e-01   5.834588e-12   5.876098e-03   1.805871e-13   590
  5.096214e-01   7.684403e-12   6.432479e-03   2.127899e-13   648
  5.308979e-01   9.326563e-12   5.692893e-03   2.698785e-13   654
  5.498012e-01   1.222426e-11   4.722042e-03   3.548205e-13   636
  5.709321e-01   1.348683e-11   7.079544e-03   3.409622e-13   830
  5.907593e-01   1.671374e-11   5.095999e-03   4.268083e-13   792
  6.110328e-01   1.865043e-11   5.241142e-03   4.621280e-13   804
  6.317957e-01   2.382363e-11   6.468770e-03   5.170311e-13   1038
  6.518970e-01   2.904671e-11   5.066866e-03   7.159113e-13   936
  6.736844e-01   3.373563e-11   5.920520e-03   7.452476e-13   1130
  6.934320e-01   3.675980e-11   5.498096e-03   8.283607e-13   1104
  7.151093e-01   4.456201e-11   6.112917e-03   9.189769e-13   1230
  7.349322e-01   5.086263e-11   6.208488e-03   9.711877e-13   1260
  7.550713e-01   6.097499e-11   5.371329e-03   1.278102e-12   1286
  7.778485e-01   6.780370e-11   6.513251e-03   1.153080e-12   1728
  7.994312e-01   7.677955e-11   5.758260e-03   1.542896e-12   1392
  8.199441e-01   8.746505e-11   5.472268e-03   1.565166e-12   1626
  8.409694e-01   9.820566e-11   6.470306e-03   1.677638e-12   1760
  8.620805e-01   1.102144e-10   5.346546e-03   1.822161e-12   1686
  8.819823e-01   1.245763e-10   5.438430e-03   2.092096e-12   1812
  9.023318e-01   1.365612e-10   6.258151e-03   2.238926e-12   1862
  9.231285e-01   1.554388e-10   5.568747e-03   2.354319e-12   2160
  9.440529e-01   1.654839e-10   5.701804e-03   2.820604e-12   1956
  9.651054e-01   1.962640e-10   6.405607e-03   2.806753e-12   2454
  9.856496e-01   2.017337e-10   5.007566e-03   3.174447e-12   2048
  1.006269e+00   2.280001e-10   6.503570e-03   3.166754e-12   2538
  1.026621e+00   2.556223e-10   5.450501e-03   3.718881e-12   2400
  1.047192e+00   2.831306e-10   6.475327e-03   3.832313e-12   2526
  1.067717e+00   3.006125e-10   6.428646e-03   4.023408e-12   2856
  1.089126e+00   3.242477e-10   5.998658e-03   4.259008e-12   2804
  1.110271e+00   3.601373e-10   6.281405e-03   4.713572e-12   2958
  1.130394e+00   3.882229e-10   6.090740e-03   5.189700e-12   2976
  1.151629e+00   4.322319e-10   6.085785e-03   5.462613e-12   3194
  1.171511e+00   4.468063e-10   6.051968e-03   5.663346e-12   3120
  1.193046e+00   4.957047e-10   6.150978e-03   5.840779e-12   3606
  1.213599e+00   5.260309e-10   5.612012e-03   6.749126e-12   3276
  1.233621e+00   5.646660e-10   6.355793e-03   6.763775e-12   3600
  1.254220e+00   6.184717e-10   5.572771e-03   7.199929e-12   3638
  1.274050e+00   6.613058e-10   5.946849e-03   7.884881e-12   3744
  1.295503e+00   7.008548e-10   6.151642e-03   7.592145e-12   4170
  1.316011e+00   7.445400e-10   5.840615e-03   8.461752e-12   3984
  1.336899e+00   7.997891e-10   5.897286e-03   8.855915e-12   4334
  1.357509e+00   8.476567e-10   5.453663e-03   9.072962e-12   4284
  1.377862e+00   8.939308e-10   6.571905e-03   9.373910e-12   4374
  1.399143e+00   9.542199e-10   5.878176e-03   9.627324e-12   5016
  1.420103e+00   1.009165e-09   5.618773e-03   1.049659e-11   4580
  1.440995e+00   1.063562e-09   6.643257e-03   1.048287e-11   5142
  1.462309e+00   1.150019e-09   6.371972e-03   1.148115e-11   5184
  1.483176e+00   1.214413e-09   5.014337e-03   1.217193e-11   5058
  1.503228e+00   1.289354e-09   5.897393e-03   1.231759e-11   5384
  1.524669e+00   1.338642e-09   6.755027e-03   1.319005e-11   5622
  1.545353e+00   1.421435e-09   5.687847e-03   1.328187e-11   5736
  1.565950e+00   1.508680e-09   5.108038e-03   1.464040e-11   5596
  1.586643e+00   1.600510e-09   6.383125e-03   1.473526e-11   6070
  1.607167e+00   1.718806e-09   4.962312e-03   1.564455e-11   6096
  1.628581e+00   1.727225e-09   6.133622e-03   1.552244e-11   6474
  1.648392e+00   1.815731e-09   5.838056e-03   1.682654e-11   6024
  1.669580e+00   1.911436e-09   5.899251e-03   1.646675e-11   7070
  1.690573e+00   2.044082e-09   4.809061e-03   1.802955e-11   6516
  1.710708e+00   2.163098e-09   6.001192e-03   1.890388e-11   6936
  1.731728e+00   2.168281e-09   5.872766e-03   1.872356e-11   7110
  1.752060e+00   2.296459e-09   4.346631e-03   1.969032e-11   7244
  1.773569e+00   2.366618e-09   6.405291e-03   1.891056e-11   7878
  1.794402e+00   2.531935e-09   6.260749e-03   2.097230e-11   7344
  1.814575e+00   2.584452e-09   6.414098e-03   2.074897e-11   7694
  1.835593e+00   2.725209e-09   6.089026e-03   2.091222e-11   8412
  1.856699e+00   2.874275e-09   6.470253e-03   2.251674e-11   7920
  1.876759e+00   2.903755e-09   5.374001e-03   2.360978e-11   8118
  1.897179e+00   3.011676e-09   6.273257e-03   2.350865e-11   8548
  1.917951e+00   3.109579e-09   6.382889e-03   2.387301e-11   8710
  1.938549e+00   3.237376e-09   5.512170e-03   2.438010e-11   8928
  1.959695e+00   3.376427e-09   6.049563e-03   2.512205e-11   9186
  1.979981e+00   3.505681e-09   6.565980e-03   2.618341e-11   9200
  2.000891e+00   3.581316e-09   5.684673e-03   2.646603e-11   9438
  2.021277e+00   3.670163e-09   8.018434e-03   2.717688e-11   9564
  2.042231e+00   3.817102e-09   6.189568e-03   2.760457e-11   10296
  2.063682e+00   3.994174e-09   5.391208e-03   2.914204e-11   10126
  2.083777e+00   4.053729e-09   6.730726e-03   2.923310e-11   10024
  2.105151e+00   4.267394e-09   4.712298e-03   2.910805e-11   11082
  2.126137e+00   4.400081e-09   7.191469e-03   3.017105e-11   10632
  2.146648e+00   4.556172e-09   5.276268e-03   3.148273e-11   10734
  2.167370e+00   4.676170e-09   6.445526e-03   3.131566e-11   11276
  2.188085e+00   4.825685e-09   5.760548e-03   3.211770e-11   11352
  2.208991e+00   4.854579e-09   6.081183e-03   3.226487e-11   11550
  2.229512e+00   5.110107e-09   5.584590e-03   3.367723e-11   11772
  2.250338e+00   5.241897e-09   7.099498e-03   3.400027e-11   12038
  2.270908e+00   5.403889e-09   8.660795e-03   3.525202e-11   12096
  2.291762e+00   5.464464e-09   6.910786e-03   3.485076e-11   12582
  2.312387e+00   5.603753e-09   1.810009e-03   3.537261e-11   12620
  2.333484e+00   5.709652e-09   7.266017e-03   3.520848e-11   13320
  2.354132e+00   5.803802e-09   6.561585e-03   3.664939e-11   12654
  2.374385e+00   6.094914e-09   1.509623e-03   3.785311e-11   13236
  2.394940e+00   6.107331e-09   9.613264e-03   3.759802e-11   13438
  2.415712e+00   6.319747e-09   9.389007e-03   3.805213e-11   14344
  2.437236e+00   6.528033e-09   5.903855e-03   3.813685e-11   14226
  2.457572e+00   6.675453e-09   4.672744e-03   3.996538e-11   14088
  2.478175e+00   6.821426e-09   6.614826e-04   4.049928e-11   14328
  2.498827e+00   7.022890e-09   6.447094e-03   4.102796e-11   14954
  2.519760e+00   7.083675e-09   5.185933e-03   4.122324e-11   15480
  2.540776e+00   7.267733e-09   6.868951e-03   4.212672e-11   14862
  2.560688e+00   7.406124e-09   8.137134e-03   4.289696e-11   15296
  2.581597e+00   7.652575e-09   7.696714e-03   4.317689e-11   15954
  2.602087e+00   7.774980e-09   6.329542e-03   4.404476e-11   15720
  2.622579e+00   7.884189e-09   2.783257e-03   4.350160e-11   16296
  2.643690e+00   8.038211e-09   4.335083e-03   4.358914e-11   17010
  2.664189e+00   8.257749e-09   3.311615e-03   4.599975e-11   16328
  2.684811e+00   8.406134e-09   3.297749e-03   4.550774e-11   17094
  2.705495e+00   8.497672e-09   8.616207e-03   4.594812e-11   17436
  2.726416e+00   8.726721e-09   8.666804e-03   4.629694e-11   17862
  2.747423e+00   8.696063e-09   7.353054e-03   4.656460e-11   18200
  2.768586e+00   9.030899e-09   0.000000e+00   4.710031e-11   18450
  2.789287e+00   9.144968e-09   3.724342e-03   4.786179e-11   18384
  2.809940e+00   9.277398e-09   5.841895e-03   4.854024e-11   18504
  2.830568e+00   9.517959e-09   4.287339e-03   4.833948e-11   19142
  2.851612e+00   9.831554e-09   6.256838e-03   4.891306e-11   19692
  2.872434e+00   9.804537e-09   5.593565e-03   5.025918e-11   19062
  2.892804e+00   9.880494e-09   0.000000e+00   4.926162e-11   20184
  2.913860e+00   1.025559e-08   7.387844e-03   5.085840e-11   19970
  2.934397e+00   1.025670e-08   0.000000e+00   5.117527e-11   20496
  2.955536e+00   1.045762e-08   8.630177e-03   5.072642e-11   21456
  2.976108e+00   1.051547e-08   6.139558e-03   5.339685e-11   19650
  2.996304e+00   1.092561e-08   9.699454e-03   5.279204e-11   22040
  3.017594e+00   1.101366e-08   1.286329e-02   5.361929e-11   21558
  3.038152e+00   1.116012e-08   0.000000e+00   5.364265e-11   21804
  3.058764e+00   1.141049e-08   8.024289e-03   5.361987e-11   21926
  3.079308e+00   1.151134e-08   9.566912e-03   5.453259e-11   22416
  3.099937e+00   1.158737e-08   8.466104e-03   5.423860e-11   22776
  3.121146e+00   1.194242e-08   6.624540e-03   5.492995e-11   23874
  3.141984e+00   1.203183e-08   0.000000e+00   5.744416e-11   23104
  3.162701e+00   1.213426e-08   0.000000e+00   5.574323e-11   23974
  3.183468e+00   1.238451e-08   1.371150e-02   5.682508e-11   23892
  3.203874e+00   1.257816e-08   0.000000e+00   5.839646e-11   23550
  3.224418e+00   1.264092e-08   6.730193e-03   5.693330e-11   25320
  3.245288e+00   1.290620e-08   1.182901e-02   5.769360e-11   24428
  3.265710e+00   1.290914e-08   8.170541e-03   5.759566e-11   25254
  3.286618e+00   1.310560e-08   0.000000e+00   5.729620e-11   26016
  3.307231e+00   1.325864e-08   9.349462e-04   5.899269e-11   25182
  3.328033e+00   1.336159e-08   3.485976e-03   5.824597e-11   27428
  3.349134e+00   1.343670e-08   5.501927e-03   5.976991e-11   25974
  3.369439e+00   1.384389e-08   8.807366e-03   6.011895e-11   26904
  3.390059e+00   1.397887e-08   3.848302e-03   6.142330e-11   26730
  3.410701e+00   1.395885e-08   0.000000e+00   5.961582e-11   27896
  3.431860e+00   1.425867e-08   1.054988e-02   5.905946e-11   28992
  3.453270e+00   1.425967e-08   3.420064e-03   5.985844e-11   28698
  3.473700e+00   1.450985e-08   0.000000e+00   6.115723e-11   27816
  3.494571e+00   1.460804e-08   0.000000e+00   5.981932e-11   29774
  3.515449e+00   1.481766e-08   6.877425e-03   6.179664e-11   29148
  3.535862e+00   1.490935e-08   0.000000e+00   6.255560e-11   28806
  3.556422e+00   1.516274e-08   1.151183e-02   6.181812e-11   30408
  3.577217e+00   1.540117e-08   0.000000e+00   6.307098e-11   30320
  3.598192e+00   1.536384e-08   0.000000e+00   6.224034e-11   30930
  3.619128e+00   1.566850e-08   0.000000e+00   6.246325e-11   31656
  3.639580e+00   1.554658e-08   1.274320e-03   6.414112e-11   30086
  3.660128e+00   1.607497e-08   1.325577e-02   6.315293e-11   32724
  3.680837e+00   1.624190e-08   7.641616e-03   6.707226e-11   30846
  3.701403e+00   1.631028e-08   2.831461e-03   6.366369e-11   33480
  3.722425e+00   1.650726e-08   1.073954e-02   6.465198e-11   32724
  3.742979e+00   1.665451e-08   6.984652e-03   6.533199e-11   32894
  3.763829e+00   1.676988e-08   0.000000e+00   6.413500e-11   34200
  3.784682e+00   1.681686e-08   8.683105e-03   6.525547e-11   33594
  3.805162e+00   1.706869e-08   1.797481e-03   6.509863e-11   34336
  3.826056e+00   1.709737e-08   3.109510e-03   6.464544e-11   34822
  3.846791e+00   1.749486e-08   0.000000e+00   6.622201e-11   35472
  3.867411e+00   1.742670e-08   0.000000e+00   6.659287e-11   34404
  3.887970e+00   1.752113e-08   0.000000e+00   6.576675e-11   36222
  3.908578e+00   1.762721e-08   6.059883e-03   6.658903e-11   35984
  3.929395e+00   1.801458e-08   8.503656e-03   6.703995e-11   36570
  3.950032e+00   1.792128e-08   0.000000e+00   6.613712e-11   37176
  3.970895e+00   1.820620e-08   0.000000e+00   6.732840e-11   37406
  3.991673e+00   1.832244e-08   0.000000e+00   6.664207e-11   38052
  4.012282e+00   1.850998e-08   0.000000e+00   6.818006e-11   37590
  4.033173e+00   1.840281e-08   1.087166e-02   6.514164e-11   39480
  4.053854e+00   1.865662e-08   0.000000e+00   6.716075e-11   38260
  4.074527e+00   1.882228e-08   1.057333e-02   6.791678e-11   39646
  4.095623e+00   1.889170e-08   6.330192e-03   6.673463e-11   40944
  4.116542e+00   1.905361e-08   0.000000e+00   6.843234e-11   39678
  4.137149e+00   1.927836e-08   1.570227e-03   6.789030e-11   40804
  4.157880e+00   1.935499e-08   0.000000e+00   6.816068e-11   40606
  4.178646e+00   1.954319e-08   1.389263e-02   6.732063e-11   42216
  4.199540e+00   1.975520e-08   0.000000e+00   6.885275e-11   41532
  4.220178e+00   1.971611e-08   0.000000e+00   6.896691e-11   41990
  4.240666e+00   2.008839e-08   1.440596e-02   6.912673e-11   42360
  4.261571e+00   2.016782e-08   5.081051e-03   6.943268e-11   43530
  4.282349e+00   2.001594e-08   8.399372e-03   6.775930e-11   43848
  4.303061e+00   2.028670e-08   0.000000e+00   6.945196e-11   42870
  4.323842e+00   2.050382e-08   1.427252e-02   6.850853e-11   46160
  4.344701e+00   2.053753e-08   5.325138e-03   7.040391e-11   43380
  4.365240e+00   2.063535e-08   0.000000e+00   6.884984e-11   45294
  4.385850e+00   2.072576e-08   1.306722e-02   6.929841e-11   45744
  4.406924e+00   2.067591e-08   0.000000e+00   6.884334e-11   46682
  4.427542e+00   2.081488e-08   7.142848e-03   6.879414e-11   45840
  4.448227e+00   2.100923e-08   0.000000e+00   6.948390e-11   47118
  4.468866e+00   2.123557e-08   1.909036e-02   7.002950e-11   47124
  4.489588e+00   2.133719e-08   4.780344e-03   6.958221e-11   47984
  4.510732e+00   2.143411e-08   8.152345e-03   6.836547e-11   49566
  4.531118e+00   2.146438e-08   5.214954e-03   7.141573e-11   46284
  4.551570e+00   2.146526e-08   1.412788e-02   6.923672e-11   49966
  4.572384e+00   2.167242e-08   1.030279e-02   6.996397e-11   49360
  4.593072e+00   2.171213e-08   2.962480e-03   7.024429e-11   49806
  4.613927e+00   2.180522e-08   1.166065e-02   6.920255e-11   51492
  4.634555e+00   2.195732e-08   1.533182e-02   7.072049e-11   49496
  4.655358e+00   2.207179e-08   1.536707e-02   6.854898e-11   53190
  4.676336e+00   2.224324e-08   0.000000e+00   7.108569e-11   51060
  4.696902e+00   2.241370e-08   0.000000e+00   7.051179e-11   52134
  4.717533e+00   2.250227e-08   1.025474e-02   6.991245e-11   53088
  4.738328e+00   2.265204e-08   6.768672e-03   7.050364e-11   52706
  4.759059e+00   2.260975e-08   1.010218e-02   6.880817e-11   54936
  4.780123e+00   2.266379e-08   0.000000e+00   6.968837e-11   53886
  4.800723e+00   2.258604e-08   0.000000e+00   6.994553e-11   54436
  4.821321e+00   2.292006e-08   0.000000e+00   7.016169e-11   55096
  4.842331e+00   2.283366e-08   0.000000e+00   6.904746e-11   56358
  4.862918e+00   2.288334e-08   0.000000e+00   6.974503e-11   55632
  4.883675e+00   2.317585e-08   1.981975e-02   6.962797e-11   56530
  4.904377e+00   2.323037e-08   0.000000e+00   6.947608e-11   57232
  4.925004e+00   2.344262e-08   0.000000e+00   7.041356e-11   56766
  4.946155e+00   2.327103e-08   0.000000e+00   6.735991e-11   60804
  4.966740e+00   2.355975e-08   0.000000e+00   7.189412e-11   55536
  4.987402e+00   2.352539e-08   2.479304e-02   6.797968e-11   61166
  5.008143e+00   2.348310e-08   0.000000e+00   7.018408e-11   57396
  5.028656e+00   2.371942e-08   1.194916e-02   6.917360e-11   60870
  5.049485e+00   2.372366e-08   0.000000e+00   7.012155e-11   60224
  5.070206e+00   2.378786e-08   1.755136e-02   6.928193e-11   61002
  5.090995e+00   2.376712e-08   1.617957e-02   6.853452e-11   62016
  5.111675e+00   2.389926e-08   0.000000e+00   6.977760e-11   60768
  5.132189e+00   2.403112e-08   2.344816e-02   6.931120e-11   62870
  5.153160e+00   2.415178e-08   8.441046e-03   6.859181e-11   63804
  5.174012e+00   2.415614e-08   1.053434e-02   6.916377e-11   63054
  5.194387e+00   2.438084e-08   8.861510e-03   6.999997e-11   63024
  5.215202e+00   2.431607e-08   0.000000e+00   6.871799e-11   65018
  5.235782e+00   2.438450e-08   1.528512e-02   6.904248e-11   64608
  5.256576e+00   2.450159e-08   0.000000e+00   6.838656e-11   65688
  5.277311e+00   2.454081e-08   2.258377e-02   6.909604e-11   65994
  5.297977e+00   2.465034e-08   0.000000e+00   6.824671e-11   66648
  5.318871e+00   2.463779e-08   1.514373e-02   6.884362e-11   67310
  5.339462e+00   2.466266e-08   0.000000e+00   6.872411e-11   67224
  5.360200e+00   2.470147e-08   5.627071e-03   6.845351e-11   68034
  5.381015e+00   2.473123e-08   0.000000e+00   6.674593e-11   69744
  5.401831e+00   2.474035e-08   1.126273e-02   6.795936e-11   68654
  5.422855e+00   2.487425e-08   1.511543e-02   6.657654e-11   72132
  5.443654e+00   2.492282e-08   8.860456e-03   6.899949e-11   68520
  5.464160e+00   2.495948e-08   1.419173e-02   6.777611e-11   71070
  5.485071e+00   2.507124e-08   0.000000e+00   6.687177e-11   71948
  5.505774e+00   2.515742e-08   2.273667e-02   6.746112e-11   71598
  5.526655e+00   2.506708e-08   0.000000e+00   6.684799e-11   73536
  5.547363e+00   2.528728e-08   2.741091e-02   6.808756e-11   71802
  5.567857e+00   2.533269e-08   0.000000e+00   6.784514e-11   73280
  5.588593e+00   2.539070e-08   0.000000e+00   6.733048e-11   73992
  5.609517e+00   2.509896e-08   1.290102e-02   6.602054e-11   75966
  5.630237e+00   2.532091e-08   0.000000e+00   6.679716e-11   74364
  5.650980e+00   2.528235e-08   1.602464e-02   6.543614e-11   76094
  5.671666e+00   2.541476e-08   0.000000e+00   6.676825e-11   76224
  5.692418e+00   2.551247e-08   1.005450e-02   6.669886e-11   76242
  5.712948e+00   2.555164e-08   0.000000e+00   6.683905e-11   76944
  5.733683e+00   2.565457e-08   0.000000e+00   6.593010e-11   78680
  5.754737e+00   2.550291e-08   1.795765e-02   6.551072e-11   79962
  5.775392e+00   2.553351e-08   7.811564e-03   6.608669e-11   77760
  5.796021e+00   2.560884e-08   2.105686e-02   6.576879e-11   79590
  5.816769e+00   2.557874e-08   0.000000e+00   6.526162e-11   80732
  5.837569e+00   2.575432e-08   2.676002e-02   6.554118e-11   81174
  5.858317e+00   2.569734e-08   9.673992e-03   6.589010e-11   80832
  5.878647e+00   2.577556e-08   2.692885e-02   6.583210e-11   79992
  5.899508e+00   2.593023e-08   0.000000e+00   6.455687e-11   84314
  5.920439e+00   2.583225e-08   0.000000e+00   6.458294e-11   83592
  5.941251e+00   2.597956e-08   1.979626e-02   6.494869e-11   83838
  5.961943e+00   2.596983e-08   0.000000e+00   6.528212e-11   83676
  5.982556e+00   2.573829e-08   1.311251e-02   6.416611e-11   84950
  6.003229e+00   2.584657e-08   0.000000e+00   6.470486e-11   84912
  6.024027e+00   2.604130e-08   2.395059e-02   6.416203e-11   87162
  6.044870e+00   2.593261e-08   0.000000e+00   6.443530e-11   86440
  6.065492e+00   2.605357e-08   0.000000e+00   6.458035e-11   86560
  6.086296e+00   2.591904e-08   0.000000e+00   6.348223e-11   88698
  6.106997e+00   2.612414e-08   3.054337e-02   6.372479e-11   88920
  6.127979e+00   2.603671e-08   0.000000e+00   6.331395e-11   88814
  6.148557e+00   2.593157e-08   6.130315e-03   6.297673e-11   90336
