# power spectrum of velocity
# redshift z=0.589500
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   4.651520e-07   1.569186e-05   1.680617e-07   6
  6.772678e-02   1.172877e-06   0.000000e+00   2.706505e-07   12
  8.844750e-02   6.839261e-07   6.350197e-03   1.337419e-07   14
  1.121958e-01   6.847910e-07   5.110132e-03   7.025316e-08   48
  1.413226e-01   5.466105e-07   3.711993e-03   5.969704e-08   42
  1.551375e-01   4.152230e-07   3.695504e-03   5.362884e-08   48
  1.759035e-01   4.973537e-07   4.430317e-03   5.386200e-08   80
  1.993525e-01   4.900663e-07   3.439775e-03   4.333438e-08   90
  2.172926e-01   3.384677e-07   5.401395e-03   3.313415e-08   120
  2.427789e-01   3.758785e-07   4.539269e-03   2.558336e-08   158
  2.596594e-01   3.550586e-07   2.154172e-03   3.652056e-08   120
  2.799969e-01   3.197985e-07   4.814837e-03   2.109203e-08   186
  3.024673e-01   3.008881e-07   6.584405e-03   1.909339e-08   264
  3.207263e-01   3.285711e-07   3.554717e-03   2.363759e-08   168
  3.440233e-01   2.777448e-07   6.353114e-03   1.444436e-08   386
  3.635186e-01   2.173154e-07   3.844319e-03   1.572238e-08   192
  3.827000e-01   2.635919e-07   6.302989e-03   1.359183e-08   390
  4.042493e-01   2.114226e-07   6.599222e-03   1.035773e-08   396
  4.244941e-01   2.195079e-07   6.547168e-03   1.061016e-08   398
  4.467496e-01   1.924069e-07   6.417329e-03   7.442335e-09   576
  4.686509e-01   1.789891e-07   6.510439e-03   8.228345e-09   444
  4.878078e-01   2.047821e-07   5.874003e-03   7.715841e-09   590
  5.096214e-01   1.643123e-07   6.432479e-03   6.408971e-09   648
  5.308979e-01   1.612083e-07   5.692893e-03   6.428190e-09   654
  5.498012e-01   1.552576e-07   4.722042e-03   5.669107e-09   636
  5.709321e-01   1.518383e-07   7.079544e-03   5.237014e-09   830
  5.907593e-01   1.386479e-07   5.095999e-03   4.567311e-09   792
  6.110328e-01   1.376838e-07   5.241142e-03   5.016766e-09   804
  6.317957e-01   1.413239e-07   6.468770e-03   4.877420e-09   1038
  6.518970e-01   1.196280e-07   5.066866e-03   3.783794e-09   936
  6.736844e-01   1.147047e-07   5.920520e-03   3.508221e-09   1130
