# power spectrum of delta
# redshift z=-0.022400
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   3.756331e-02   1.569186e-05   1.454881e-02   6
  6.772678e-02   2.022225e-01   0.000000e+00   4.362112e-02   12
  8.844750e-02   2.049029e-01   6.350197e-03   3.485843e-02   14
  1.121958e-01   3.901855e-01   5.110132e-03   4.028348e-02   48
  1.413226e-01   5.200428e-01   3.711993e-03   6.648111e-02   42
  1.551375e-01   4.824910e-01   3.695504e-03   6.079535e-02   48
  1.759035e-01   7.052501e-01   4.430317e-03   6.589397e-02   80
  1.993525e-01   9.305511e-01   3.439775e-03   8.520637e-02   90
  2.172926e-01   9.011823e-01   5.401395e-03   8.163867e-02   120
  2.427789e-01   1.148194e+00   4.539269e-03   7.966280e-02   158
  2.596594e-01   1.430247e+00   2.154172e-03   1.512815e-01   120
  2.799969e-01   1.544893e+00   4.814837e-03   1.140474e-01   186
  3.024673e-01   1.791653e+00   6.584405e-03   1.082426e-01   264
  3.207263e-01   2.021616e+00   3.554717e-03   1.393153e-01   168
  3.440233e-01   2.330777e+00   6.353114e-03   1.192838e-01   386
  3.635186e-01   2.388968e+00   3.844319e-03   1.910011e-01   192
  3.827000e-01   3.156842e+00   6.302989e-03   1.608528e-01   390
  4.042493e-01   3.029679e+00   6.599222e-03   1.444976e-01   396
  4.244941e-01   3.407658e+00   6.547168e-03   1.642473e-01   398
  4.467496e-01   3.920129e+00   6.417329e-03   1.624320e-01   576
  4.686509e-01   4.013542e+00   6.510439e-03   1.948349e-01   444
  4.878078e-01   4.760553e+00   5.874003e-03   1.911295e-01   590
  5.096214e-01   4.638033e+00   6.432479e-03   1.779447e-01   648
  5.308979e-01   5.678980e+00   5.692893e-03   2.088917e-01   654
  5.498012e-01   5.487444e+00   4.722042e-03   2.025991e-01   636
  5.709321e-01   6.312089e+00   7.079544e-03   2.330116e-01   830
  5.907593e-01   6.492191e+00   5.095999e-03   2.212400e-01   792
  6.110328e-01   7.284672e+00   5.241142e-03   2.402282e-01   804
  6.317957e-01   8.040565e+00   6.468770e-03   2.714789e-01   1038
  6.518970e-01   8.134321e+00   5.066866e-03   2.576742e-01   936
  6.736844e-01   9.046815e+00   5.920520e-03   2.504512e-01   1130
  6.934320e-01   9.141735e+00   5.498096e-03   2.593158e-01   1104
  7.151093e-01   1.003465e+01   6.112917e-03   2.802929e-01   1230
  7.349322e-01   1.103601e+01   6.212201e-03   3.167903e-01   1260
  7.550713e-01   1.079308e+01   5.373821e-03   3.035630e-01   1286
  7.778485e-01   1.185880e+01   6.513251e-03   0.000000e+00   1728
  7.994312e-01   1.303964e+01   5.758260e-03   0.000000e+00   1392
  8.199443e-01   1.335206e+01   5.458221e-03   0.000000e+00   1626
  8.409694e-01   1.456914e+01   6.470306e-03   0.000000e+00   1760
  8.620805e-01   1.418671e+01   5.346546e-03   0.000000e+00   1686
  8.819823e-01   1.523130e+01   5.438430e-03   0.000000e+00   1812
  9.023318e-01   1.683897e+01   6.274083e-03   0.000000e+00   1862
  9.231285e-01   1.728373e+01   5.577898e-03   0.000000e+00   2160
  9.440529e-01   1.817686e+01   5.701804e-03   0.000000e+00   1956
  9.651054e-01   1.903476e+01   6.398212e-03   0.000000e+00   2454
  9.856496e-01   2.002549e+01   4.996224e-03   0.000000e+00   2048
  1.006269e+00   2.104379e+01   6.503570e-03   0.000000e+00   2538
  1.026621e+00   2.103773e+01   5.450501e-03   0.000000e+00   2400
