# power spectrum of omega (curl v)
# redshift z=-0.022400
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   1.180861e-16   1.569186e-05   5.091899e-18   6
  6.772678e-02   1.500345e-15   0.000000e+00   2.864628e-16   12
  8.844750e-02   8.455435e-15   6.350197e-03   2.168506e-15   14
  1.121958e-01   2.006645e-14   5.110132e-03   1.823640e-15   48
  1.413226e-01   7.696768e-14   3.711993e-03   7.452123e-15   42
  1.551375e-01   1.669798e-13   3.695504e-03   2.248321e-14   48
  1.759035e-01   2.115411e-13   4.430317e-03   1.504387e-14   80
  1.993525e-01   6.902496e-13   3.439775e-03   5.868156e-14   90
  2.172926e-01   8.037783e-13   5.401395e-03   5.903731e-14   120
  2.427789e-01   1.675758e-12   4.539269e-03   8.941028e-14   158
  2.596594e-01   2.790969e-12   2.154172e-03   1.929383e-13   120
  2.799969e-01   3.548363e-12   4.814837e-03   2.053896e-13   186
  3.024673e-01   5.800283e-12   6.584405e-03   2.746671e-13   264
  3.207263e-01   7.574035e-12   3.554717e-03   4.573039e-13   168
  3.440233e-01   1.166063e-11   6.353114e-03   4.254108e-13   386
  3.635186e-01   1.511447e-11   3.844319e-03   7.696201e-13   192
  3.827000e-01   1.947535e-11   6.302989e-03   7.545214e-13   390
  4.042493e-01   2.475062e-11   6.599222e-03   9.103443e-13   396
  4.244941e-01   3.298118e-11   6.547168e-03   1.066334e-12   398
  4.467496e-01   4.199840e-11   6.417329e-03   1.318443e-12   576
  4.686509e-01   5.661572e-11   6.510439e-03   1.993713e-12   444
  4.878078e-01   6.520274e-11   5.874003e-03   1.905583e-12   590
  5.096214e-01   9.034649e-11   6.432479e-03   2.534983e-12   648
  5.308979e-01   9.925762e-11   5.692893e-03   2.897695e-12   654
  5.498012e-01   1.306003e-10   4.722042e-03   3.584376e-12   636
  5.709321e-01   1.433047e-10   7.079544e-03   3.665606e-12   830
  5.907593e-01   1.700124e-10   5.095999e-03   4.506319e-12   792
  6.110328e-01   2.053746e-10   5.241142e-03   5.391684e-12   804
  6.317957e-01   2.327301e-10   6.468770e-03   5.415581e-12   1038
  6.518970e-01   2.608227e-10   5.066866e-03   5.932505e-12   936
  6.736843e-01   3.033610e-10   5.928384e-03   6.631256e-12   1130
  6.934320e-01   3.551991e-10   5.498096e-03   7.731725e-12   1104
  7.151093e-01   3.786999e-10   6.112917e-03   7.454354e-12   1230
  7.349322e-01   4.592347e-10   6.212201e-03   9.510100e-12   1260
  7.550713e-01   5.137789e-10   5.373821e-03   1.013292e-11   1286
  7.778485e-01   5.500819e-10   6.513251e-03   9.850547e-12   1728
  7.994312e-01   6.419418e-10   5.761882e-03   1.268145e-11   1392
  8.199441e-01   6.895851e-10   5.472268e-03   1.288847e-11   1626
  8.409694e-01   7.979058e-10   6.465203e-03   1.361373e-11   1760
  8.620805e-01   8.692382e-10   5.346546e-03   1.450987e-11   1686
  8.819823e-01   9.442831e-10   5.438430e-03   1.710089e-11   1812
  9.023318e-01   1.062539e-09   6.253163e-03   1.799471e-11   1862
  9.231285e-01   1.145771e-09   5.577898e-03   1.724157e-11   2160
  9.440529e-01   1.212989e-09   5.707255e-03   1.978575e-11   1956
  9.651054e-01   1.324915e-09   6.405607e-03   1.961234e-11   2454
  9.856496e-01   1.460108e-09   4.996224e-03   2.401493e-11   2048
  1.006269e+00   1.554996e-09   6.503570e-03   2.358327e-11   2538
  1.026621e+00   1.638577e-09   5.450501e-03   2.450303e-11   2400
  1.047192e+00   1.757642e-09   6.493922e-03   2.488494e-11   2526
  1.067717e+00   1.923317e-09   6.428646e-03   2.579625e-11   2856
  1.089126e+00   2.021683e-09   6.025686e-03   2.596670e-11   2804
  1.110271e+00   2.221764e-09   6.270330e-03   2.941516e-11   2958
  1.130394e+00   2.322534e-09   6.081912e-03   3.061639e-11   2976
  1.151629e+00   2.386045e-09   6.085785e-03   3.041985e-11   3194
  1.171511e+00   2.631290e-09   6.068103e-03   3.531173e-11   3120
  1.193046e+00   2.757146e-09   6.127131e-03   3.292260e-11   3606
