# power spectrum of velocity
# redshift z=-0.022400
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   4.773047e-07   1.569186e-05   1.720166e-07   6
  6.772678e-02   1.163952e-06   0.000000e+00   2.722438e-07   12
  8.844750e-02   6.286047e-07   6.350197e-03   1.223724e-07   14
  1.121958e-01   6.617531e-07   5.110132e-03   6.440899e-08   48
  1.413226e-01   5.378010e-07   3.711993e-03   6.080520e-08   42
  1.551375e-01   3.948503e-07   3.695504e-03   5.080613e-08   48
  1.759035e-01   4.737484e-07   4.430317e-03   4.913966e-08   80
  1.993525e-01   4.536172e-07   3.439775e-03   4.286524e-08   90
  2.172926e-01   3.176173e-07   5.401395e-03   2.910619e-08   120
  2.427789e-01   3.328518e-07   4.539269e-03   2.317542e-08   158
  2.596594e-01   3.195273e-07   2.154172e-03   3.319829e-08   120
  2.799969e-01   2.861058e-07   4.814837e-03   1.880276e-08   186
  3.024673e-01   2.620650e-07   6.584405e-03   1.770555e-08   264
  3.207263e-01   2.781641e-07   3.554717e-03   1.972743e-08   168
  3.440233e-01   2.388095e-07   6.353114e-03   1.191775e-08   386
  3.635186e-01   2.049271e-07   3.844319e-03   1.607984e-08   192
  3.827000e-01   2.201282e-07   6.302989e-03   1.182823e-08   390
  4.042493e-01   1.849613e-07   6.599222e-03   8.472862e-09   396
  4.244941e-01   1.830627e-07   6.547168e-03   8.451862e-09   398
  4.467496e-01   1.727735e-07   6.417329e-03   6.991574e-09   576
  4.686509e-01   1.582890e-07   6.510439e-03   7.015839e-09   444
  4.878078e-01   1.641602e-07   5.874003e-03   6.451179e-09   590
  5.096214e-01   1.349495e-07   6.432479e-03   5.588146e-09   648
  5.308979e-01   1.348955e-07   5.692893e-03   5.194067e-09   654
  5.498012e-01   1.276075e-07   4.722042e-03   4.631537e-09   636
  5.709321e-01   1.205664e-07   7.079544e-03   4.169456e-09   830
  5.907593e-01   1.099602e-07   5.095999e-03   3.712893e-09   792
  6.110328e-01   1.125567e-07   5.241142e-03   3.880909e-09   804
  6.317957e-01   1.134668e-07   6.468770e-03   3.833907e-09   1038
  6.518970e-01   8.957813e-08   5.066866e-03   2.861220e-09   936
  6.736844e-01   9.737765e-08   5.920520e-03   2.943857e-09   1130
  6.934320e-01   8.081253e-08   5.498096e-03   2.480426e-09   1104
  7.151093e-01   7.915971e-08   6.116133e-03   2.150583e-09   1230
  7.349322e-01   7.660731e-08   6.212201e-03   2.050557e-09   1260
  7.550713e-01   7.044192e-08   5.373821e-03   1.952132e-09   1286
  7.778485e-01   7.122279e-08   6.513251e-03   1.620521e-09   1728
  7.994312e-01   6.651577e-08   5.758260e-03   1.708031e-09   1392
  8.199441e-01   6.263325e-08   5.472268e-03   1.467693e-09   1626
  8.409694e-01   6.326702e-08   6.465203e-03   1.345928e-09   1760
  8.620805e-01   5.791324e-08   5.346546e-03   1.334152e-09   1686
  8.819823e-01   5.302993e-08   5.432531e-03   1.265939e-09   1812
  9.023318e-01   5.291266e-08   6.258151e-03   1.187707e-09   1862
  9.231285e-01   5.023616e-08   5.577898e-03   1.009503e-09   2160
  9.440529e-01   4.905153e-08   5.701804e-03   1.047039e-09   1956
