# power spectrum of theta (div v)
# redshift z=0.578700
# k              Pk             sigma(k)       sigma(Pk)      count
  4.675239e-02   5.062811e-10   1.531908e-05   1.830452e-10   6
  6.611787e-02   2.553185e-09   0.000000e+00   5.894705e-10   12
  8.634636e-02   2.530942e-09   6.199343e-03   4.711476e-10   14
  1.095305e-01   4.054842e-09   4.988736e-03   4.277869e-10   48
  1.379653e-01   5.271585e-09   3.623812e-03   5.900506e-10   42
  1.514521e-01   4.794623e-09   3.607714e-03   6.274711e-10   48
  1.717248e-01   7.171059e-09   4.325071e-03   7.354462e-10   80
  1.946168e-01   9.223861e-09   3.358060e-03   8.116298e-10   90
  2.121306e-01   7.696928e-09   5.273081e-03   7.623836e-10   120
  2.370115e-01   1.052966e-08   4.431434e-03   7.210549e-10   158
  2.534910e-01   1.132261e-08   2.102998e-03   1.157009e-09   120
  2.733454e-01   1.187882e-08   4.700457e-03   7.801712e-10   186
  2.952819e-01   1.304178e-08   6.427987e-03   8.270809e-10   264
  3.131072e-01   1.601579e-08   3.470272e-03   1.154824e-09   168
  3.358507e-01   1.549687e-08   6.202191e-03   7.979058e-10   386
  3.548829e-01   1.359223e-08   3.752994e-03   9.802725e-10   192
  3.736086e-01   1.827877e-08   6.153256e-03   9.392787e-10   390
  3.946460e-01   1.633881e-08   6.442452e-03   7.995048e-10   396
  4.144099e-01   1.869841e-08   6.391635e-03   8.962437e-10   398
  4.361367e-01   1.818617e-08   6.264880e-03   7.051025e-10   576
  4.575177e-01   1.863319e-08   6.355778e-03   8.611857e-10   444
  4.762195e-01   2.306105e-08   5.734461e-03   8.689485e-10   590
  4.975149e-01   2.016420e-08   6.279670e-03   7.884522e-10   648
  5.182859e-01   2.144778e-08   5.557653e-03   8.572545e-10   654
  5.367402e-01   2.216662e-08   4.609866e-03   8.117743e-10   636
  5.573692e-01   2.337475e-08   6.911363e-03   8.081984e-10   830
  5.767253e-01   2.284221e-08   4.974939e-03   7.551572e-10   792
  5.965172e-01   2.420450e-08   5.116634e-03   8.798732e-10   804
  6.167868e-01   2.657705e-08   6.315099e-03   9.249205e-10   1038
  6.364107e-01   2.391088e-08   4.946499e-03   7.582858e-10   936
  6.576805e-01   2.446775e-08   5.779873e-03   7.506702e-10   1130
  6.769590e-01   2.510960e-08   5.367484e-03   7.629690e-10   1104
  6.981213e-01   2.554699e-08   5.970839e-03   7.430212e-10   1230
  7.174733e-01   2.625820e-08   6.064625e-03   6.795796e-10   1260
  7.371339e-01   2.709897e-08   5.246161e-03   7.843141e-10   1286
  7.593700e-01   2.709227e-08   6.363560e-03   6.346010e-10   1728
  7.804400e-01   2.845161e-08   5.625004e-03   7.475770e-10   1392
  8.004657e-01   2.828714e-08   5.342270e-03   7.201048e-10   1626
  8.209915e-01   2.834322e-08   6.311617e-03   6.678514e-10   1760
  8.416011e-01   2.848962e-08   5.219535e-03   6.752306e-10   1686
  8.610301e-01   2.702735e-08   5.309235e-03   5.875959e-10   1812
  8.808962e-01   2.864902e-08   6.104615e-03   6.806668e-10   1862
  9.011988e-01   2.788808e-08   5.440681e-03   5.615331e-10   2160
  9.216262e-01   2.878402e-08   5.566353e-03   6.704434e-10   1956
  9.421785e-01   2.863254e-08   6.253437e-03   5.789426e-10   2454
  9.622347e-01   2.899911e-08   4.877534e-03   6.333376e-10   2048
  9.823639e-01   2.984402e-08   6.342197e-03   5.911676e-10   2538
  1.002233e+00   2.883153e-08   5.321020e-03   5.837895e-10   2400
  1.022315e+00   2.883530e-08   6.328431e-03   5.841467e-10   2526
  1.042353e+00   2.530923e-08   6.275929e-03   4.706212e-10   2856
  1.063253e+00   2.875348e-08   5.882541e-03   5.583532e-10   2804
  1.083895e+00   2.991228e-08   6.121373e-03   5.653183e-10   2958
  1.103540e+00   3.059816e-08   5.946049e-03   5.474816e-10   2976
  1.124272e+00   2.826913e-08   5.941212e-03   4.899012e-10   3194
  1.143681e+00   2.911274e-08   5.923951e-03   5.145988e-10   3120
  1.164704e+00   2.799276e-08   6.004856e-03   4.449535e-10   3606
  1.184769e+00   2.889211e-08   5.491020e-03   4.883185e-10   3276
  1.204316e+00   2.784128e-08   6.182204e-03   4.467919e-10   3600
  1.224425e+00   2.849066e-08   5.440385e-03   4.809171e-10   3638
  1.243784e+00   2.865310e-08   5.805576e-03   4.603939e-10   3744
  1.264728e+00   2.712032e-08   6.005505e-03   4.237911e-10   4170
  1.284748e+00   2.710670e-08   5.692109e-03   4.087870e-10   3984
  1.305140e+00   2.787689e-08   5.748308e-03   4.238752e-10   4334
  1.325261e+00   2.728404e-08   5.343491e-03   4.286154e-10   4284
  1.345130e+00   2.738179e-08   6.399981e-03   4.142381e-10   4374
  1.365905e+00   2.683828e-08   5.713348e-03   3.775869e-10   5016
  1.386367e+00   2.651237e-08   5.485294e-03   3.964741e-10   4580
  1.406763e+00   2.767207e-08   6.448190e-03   3.848681e-10   5142
  1.427570e+00   2.800568e-08   6.198857e-03   3.937619e-10   5184
  1.447942e+00   2.618724e-08   4.830032e-03   3.676769e-10   5058
  1.467517e+00   2.657098e-08   5.757296e-03   3.659137e-10   5384
