# power spectrum of theta (div v)
# redshift z=-0.045800
# k              Pk             sigma(k)       sigma(Pk)      count
  4.675239e-02   5.053575e-10   1.531908e-05   1.820720e-10   6
  6.611787e-02   2.465287e-09   0.000000e+00   5.761664e-10   12
  8.634636e-02   2.258347e-09   6.199343e-03   4.117459e-10   14
  1.095305e-01   3.794830e-09   4.988736e-03   3.746045e-10   48
  1.379653e-01   5.044833e-09   3.623812e-03   5.839244e-10   42
  1.514521e-01   4.444994e-09   3.607714e-03   5.780528e-10   48
  1.717248e-01   6.647636e-09   4.325071e-03   6.565049e-10   80
  1.946168e-01   8.295974e-09   3.358060e-03   7.758038e-10   90
  2.121306e-01   7.016137e-09   5.273081e-03   6.502673e-10   120
  2.370115e-01   9.081473e-09   4.431434e-03   6.366302e-10   158
  2.534910e-01   9.917385e-09   2.102998e-03   1.023461e-09   120
  2.733454e-01   1.038087e-08   4.700457e-03   6.801975e-10   186
  2.952819e-01   1.106380e-08   6.427987e-03   7.470617e-10   264
  3.131072e-01   1.321018e-08   3.470272e-03   9.386550e-10   168
  3.358507e-01   1.301522e-08   6.202191e-03   6.458772e-10   386
  3.548829e-01   1.247459e-08   3.752994e-03   9.739218e-10   192
  3.736086e-01   1.485204e-08   6.153256e-03   7.938958e-10   390
  3.946460e-01   1.391864e-08   6.442452e-03   6.335732e-10   396
  4.144099e-01   1.520073e-08   6.391635e-03   6.992723e-10   398
  4.361367e-01   1.590963e-08   6.264880e-03   6.444771e-10   576
  4.575177e-01   1.603960e-08   6.355778e-03   7.144539e-10   444
  4.762194e-01   1.799534e-08   5.739784e-03   7.124656e-10   590
  4.975149e-01   1.608382e-08   6.279670e-03   6.693101e-10   648
  5.182859e-01   1.748117e-08   5.557653e-03   6.789147e-10   654
  5.367402e-01   1.768156e-08   4.609866e-03   6.458185e-10   636
  5.573692e-01   1.804016e-08   6.911363e-03   6.298270e-10   830
  5.767253e-01   1.757779e-08   4.974939e-03   5.985736e-10   792
  5.965172e-01   1.917785e-08   5.116634e-03   6.652197e-10   804
  6.167868e-01   2.067998e-08   6.315099e-03   7.079277e-10   1038
  6.364107e-01   1.731943e-08   4.946499e-03   5.603751e-10   936
  6.576805e-01   2.010485e-08   5.775633e-03   6.136273e-10   1130
  6.769590e-01   1.758566e-08   5.367484e-03   5.479490e-10   1104
  6.981214e-01   1.831909e-08   5.967700e-03   5.064269e-10   1230
  7.174733e-01   1.864334e-08   6.064625e-03   5.100525e-10   1260
  7.371340e-01   1.804468e-08   5.239623e-03   5.121997e-10   1286
  7.593700e-01   1.935179e-08   6.358524e-03   4.525322e-10   1728
  7.804400e-01   1.899802e-08   5.625004e-03   5.045354e-10   1392
  8.004659e-01   1.875119e-08   5.328557e-03   4.538278e-10   1626
  8.209915e-01   1.986082e-08   6.316599e-03   4.384804e-10   1760
  8.416011e-01   1.899763e-08   5.219535e-03   4.563272e-10   1686
  8.610301e-01   1.810055e-08   5.309235e-03   4.537973e-10   1812
  8.808963e-01   1.881702e-08   6.098768e-03   4.450168e-10   1862
  9.011988e-01   1.858705e-08   5.440681e-03   3.937453e-10   2160
  9.216262e-01   1.895355e-08   5.566353e-03   4.281675e-10   1956
  9.421785e-01   1.771730e-08   6.253437e-03   3.529600e-10   2454
  9.622347e-01   1.896922e-08   4.877534e-03   4.155996e-10   2048
  9.823638e-01   1.903766e-08   6.360152e-03   3.833254e-10   2538
  1.002233e+00   1.757911e-08   5.321020e-03   3.757024e-10   2400
  1.022315e+00   1.823851e-08   6.339653e-03   3.475385e-10   2526
  1.042353e+00   1.689211e-08   6.275929e-03   3.139542e-10   2856
  1.063253e+00   1.790187e-08   5.856155e-03   3.391740e-10   2804
